checkpoint,seed,metric,default,coupled,raw_diff_coupled_minus_default,delta_default_from_12k,delta_coupled_from_12k,delta_delta
12000,1,phi_r_g,2.100615629320225,2.100615629320225,0.0,0.0,0.0,0.0
12000,2,phi_r_g,2.4840265125817886,2.4840265125817886,0.0,0.0,0.0,0.0
12000,3,phi_r_g,1.7855092832806958,1.7855092832806958,0.0,0.0,0.0,0.0
12000,4,phi_r_g,1.5403395818888128,1.5403395818888128,0.0,0.0,0.0,0.0
12000,5,phi_r_g,3.033334194963617,3.033334194963617,0.0,0.0,0.0,0.0
12000,6,phi_r_g,1.8708397152927383,1.8708397152927383,0.0,0.0,0.0,0.0
12000,7,phi_r_g,2.1884671293967544,2.1884671293967544,0.0,0.0,0.0,0.0
12000,8,phi_r_g,3.9503552752274995,3.9503552752274995,0.0,0.0,0.0,0.0
12000,9,phi_r_g,3.9114846692244543,3.9114846692244543,0.0,0.0,0.0,0.0
12000,10,phi_r_g,2.3591838498347397,2.3591838498347397,0.0,0.0,0.0,0.0
12000,11,phi_r_g,2.6749632006811046,2.6749632006811046,0.0,0.0,0.0,0.0
12000,12,phi_r_g,2.0285485444603175,2.0285485444603175,0.0,0.0,0.0,0.0
12000,13,phi_r_g,2.535175101968556,2.535175101968556,0.0,0.0,0.0,0.0
12000,14,phi_r_g,2.667829687374121,2.667829687374121,0.0,0.0,0.0,0.0
12000,15,phi_r_g,2.3668441228000754,2.3668441228000754,0.0,0.0,0.0,0.0
12000,16,phi_r_g,1.4683785542897354,1.4683785542897354,0.0,0.0,0.0,0.0
12000,17,phi_r_g,2.5378983242620166,2.5378983242620166,0.0,0.0,0.0,0.0
12000,18,phi_r_g,2.1251054786732624,2.1251054786732624,0.0,0.0,0.0,0.0
12000,19,phi_r_g,1.9902157007699683,1.9902157007699683,0.0,0.0,0.0,0.0
12000,20,phi_r_g,2.1159159768168463,2.1159159768168463,0.0,0.0,0.0,0.0
12000,21,phi_r_g,2.293193822765896,2.293193822765896,0.0,0.0,0.0,0.0
12000,22,phi_r_g,4.090027606404282,4.090027606404282,0.0,0.0,0.0,0.0
12000,23,phi_r_g,2.2195400923279625,2.2195400923279625,0.0,0.0,0.0,0.0
12000,24,phi_r_g,2.126731959501078,2.126731959501078,0.0,0.0,0.0,0.0
12000,25,phi_r_g,1.8104856998570833,1.8104856998570833,0.0,0.0,0.0,0.0
12000,26,phi_r_g,2.2000729525044402,2.2000729525044402,0.0,0.0,0.0,0.0
12000,27,phi_r_g,2.69027280300516,2.69027280300516,0.0,0.0,0.0,0.0
12000,28,phi_r_g,1.894709671646897,1.894709671646897,0.0,0.0,0.0,0.0
12000,29,phi_r_g,1.886152422214006,1.886152422214006,0.0,0.0,0.0,0.0
12000,30,phi_r_g,2.2922677644527956,2.2922677644527956,0.0,0.0,0.0,0.0
18000,1,phi_r_g,1.6749871599993962,2.225275145154619,0.5502879851552227,-0.425628469320829,0.12465951583439372,0.5502879851552227
18000,2,phi_r_g,2.2967737081643618,1.932845746806324,-0.36392796135803773,-0.18725280441742687,-0.5511807657754646,-0.36392796135803773
18000,3,phi_r_g,2.6361371382791354,1.7864480516013632,-0.8496890866777722,0.8506278549984396,0.0009387683206674158,-0.8496890866777722
18000,4,phi_r_g,1.6617043729653451,1.7871424107139815,0.12543803774863638,0.12136479107653231,0.24680282882516869,0.12543803774863638
18000,5,phi_r_g,2.242428940826464,2.38937847253543,0.14694953170896596,-0.7909052541371526,-0.6439557224281867,0.14694953170896596
18000,6,phi_r_g,2.186432382740291,2.416093577007187,0.22966119426689602,0.31559266744755265,0.5452538617144487,0.22966119426689602
18000,7,phi_r_g,2.1567250883760547,2.617336952323899,0.4606118639478445,-0.03174204102069966,0.4288698229271448,0.4606118639478445
18000,8,phi_r_g,2.129830030829282,2.6923247840841116,0.5624947532548297,-1.8205252443982176,-1.258030491143388,0.5624947532548297
18000,9,phi_r_g,3.4138758597499326,2.6599372503821845,-0.753938609367748,-0.4976088094745217,-1.2515474188422697,-0.753938609367748
18000,10,phi_r_g,2.2101362442859953,2.7702313342792766,0.5600950899932813,-0.1490476055487444,0.41104748444453687,0.5600950899932813
18000,11,phi_r_g,2.1056852812536597,1.9437526917820045,-0.16193258947165523,-0.5692779194274449,-0.7312105088991001,-0.16193258947165523
18000,12,phi_r_g,1.8673529254078982,1.6308412754133252,-0.23651164999457297,-0.1611956190524193,-0.3977072690469923,-0.23651164999457297
18000,13,phi_r_g,1.811174273816031,2.068085641087098,0.256911367271067,-0.724000828152525,-0.467089460881458,0.256911367271067
18000,14,phi_r_g,2.2674174091449606,2.2741985286811284,0.006781119536167779,-0.40041227822916037,-0.3936311586929926,0.006781119536167779
18000,15,phi_r_g,1.8819753866830302,1.8004413265125292,-0.08153406017050102,-0.4848687361170452,-0.5664027962875462,-0.08153406017050102
18000,16,phi_r_g,1.7164205873082772,2.0058696419717936,0.28944905466351645,0.24804203301854177,0.5374910876820582,0.28944905466351645
18000,17,phi_r_g,2.1314112074343683,2.1582546941569647,0.0268434867225964,-0.40648711682764826,-0.37964363010505187,0.0268434867225964
18000,18,phi_r_g,1.8917247735527556,1.9666035871434788,0.07487881359072324,-0.2333807051205068,-0.15850189152978356,0.07487881359072324
18000,19,phi_r_g,2.163957059012782,1.9298449754195235,-0.23411208359325864,0.17374135824281378,-0.060370725350444854,-0.23411208359325864
18000,20,phi_r_g,2.5734268941311536,2.358122572559532,-0.2153043215716215,0.45751091731430726,0.24220659574268577,-0.2153043215716215
18000,21,phi_r_g,1.7446929781342546,2.052379809904555,0.30768683177030054,-0.5485008446316413,-0.24081401286134074,0.30768683177030054
18000,22,phi_r_g,2.448125026571854,2.43798593503968,-0.01013909153217396,-1.6419025798324283,-1.6520416713646022,-0.01013909153217396
18000,23,phi_r_g,1.485067664953386,1.7804250184697683,0.29535735351638226,-0.7344724273745764,-0.43911507385819415,0.29535735351638226
18000,24,phi_r_g,1.897969417700214,2.1440546108689293,0.24608519316871535,-0.22876254180086408,0.01732265136785127,0.24608519316871535
18000,25,phi_r_g,1.934565881797491,2.900423414813667,0.965857533016176,0.1240801819404076,1.0899377149565836,0.965857533016176
18000,26,phi_r_g,2.04815535914686,1.8234505083096626,-0.2247048508371976,-0.15191759335758004,-0.37662244419477764,-0.2247048508371976
18000,27,phi_r_g,2.6497885562147703,2.1054810174676497,-0.5443075387471206,-0.040484246790389644,-0.5847917855375102,-0.5443075387471206
18000,28,phi_r_g,1.9689384702996557,2.1333257477653187,0.16438727746566295,0.07422879865275878,0.23861607611842173,0.16438727746566295
18000,29,phi_r_g,1.6939323409377884,2.058477445094953,0.36454510415716435,-0.1922200812762176,0.17232502288094675,0.36454510415716435
18000,30,phi_r_g,2.461020255783424,2.385195654258996,-0.07582460152442838,0.16875249133062864,0.09292788980620026,-0.07582460152442838
24000,1,phi_r_g,2.0089096719117316,2.159110991192607,0.15020131928087554,-0.09170595740849352,0.05849536187238202,0.15020131928087554
24000,2,phi_r_g,1.940928706399443,1.9022645615666693,-0.038664144832773584,-0.5430978061823457,-0.5817619510151193,-0.038664144832773584
24000,3,phi_r_g,2.26302725773012,1.955638028101345,-0.307389229628775,0.47751797444942423,0.1701287448206492,-0.307389229628775
24000,4,phi_r_g,1.6678889908283003,1.9884637278535422,0.32057473702524186,0.12754940893948752,0.4481241459647294,0.32057473702524186
24000,5,phi_r_g,1.9198641146463093,1.9148227872342523,-0.005041327412057095,-1.1134700803173074,-1.1185114077293645,-0.005041327412057095
24000,6,phi_r_g,2.017848124132109,2.0557017948733733,0.037853670741264445,0.1470084088393706,0.18486207958063505,0.037853670741264445
24000,7,phi_r_g,2.7367607133442347,2.112094512480823,-0.6246662008634116,0.5482935839474803,-0.07637261691593134,-0.6246662008634116
24000,8,phi_r_g,1.9709843972336918,2.4976006815479517,0.5266162843142599,-1.9793708779938077,-1.4527545936795478,0.5266162843142599
24000,9,phi_r_g,3.9248340661053644,2.432123968877953,-1.4927100972274117,0.013349396880910191,-1.4793607003465015,-1.4927100972274117
24000,10,phi_r_g,2.2912093879848694,2.391748161968777,0.10053877398390743,-0.06797446184987033,0.0325643121340371,0.10053877398390743
24000,11,phi_r_g,2.460581298783411,1.6291844727339013,-0.8313968260495095,-0.2143819018976938,-1.0457787279472033,-0.8313968260495095
24000,12,phi_r_g,1.9688899840731295,1.7723321774397258,-0.19655780663340372,-0.059658560387187975,-0.2562163670205917,-0.19655780663340372
24000,13,phi_r_g,2.1874679467688094,2.083114074171083,-0.10435387259772622,-0.3477071551997466,-0.4520610277974728,-0.10435387259772622
24000,14,phi_r_g,2.2124825671563526,2.568235630311589,0.3557530631552366,-0.45534712021776835,-0.09959405706253177,0.3557530631552366
24000,15,phi_r_g,1.8078688617263743,1.7565400596905683,-0.05132880203580603,-0.5589752610737011,-0.6103040631095071,-0.05132880203580603
24000,16,phi_r_g,1.6248094169170244,2.089137543832566,0.4643281269155417,0.156430862627289,0.6207589895428307,0.4643281269155417
24000,17,phi_r_g,2.952051760538093,2.980205694657693,0.028153934119599988,0.41415343627607637,0.44230737039567636,0.028153934119599988
24000,18,phi_r_g,1.7958817138753553,1.8511312126581994,0.05524949878284402,-0.32922376479790705,-0.27397426601506303,0.05524949878284402
24000,19,phi_r_g,2.4042425570115924,2.001375228595759,-0.4028673284158333,0.41402685624162405,0.011159527825790772,-0.4028673284158333
24000,20,phi_r_g,2.0183339476399045,2.3466780076796643,0.3283440600397598,-0.09758202917694181,0.230762030862818,0.3283440600397598
24000,21,phi_r_g,1.789547563818925,1.6906992879231701,-0.09884827589575496,-0.5036462589469708,-0.6024945348427257,-0.09884827589575496
24000,22,phi_r_g,2.3467937173002342,3.1377661653043694,0.7909724480041351,-1.7432338891040482,-0.9522614410999131,0.7909724480041351
24000,23,phi_r_g,1.7755023661567493,1.8171471454930883,0.04164477933633903,-0.4440377261712132,-0.40239294683487414,0.04164477933633903
24000,24,phi_r_g,1.962770836478019,2.089891604605198,0.1271207681271791,-0.1639611230230591,-0.03684035489588,0.1271207681271791
24000,25,phi_r_g,2.107629603645087,2.5284937372169964,0.42086413357190944,0.2971439037880037,0.7180080373599131,0.42086413357190944
24000,26,phi_r_g,2.0214011946007346,2.2251518755681214,0.2037506809673868,-0.1786717579037056,0.025078923063681202,0.2037506809673868
24000,27,phi_r_g,2.694495027371807,2.063160821299694,-0.631334206072113,0.004222224366646987,-0.627111981705466,-0.631334206072113
24000,28,phi_r_g,2.0612808843485873,2.396683355496876,0.3354024711482886,0.16657121270169029,0.5019736838499789,0.3354024711482886
24000,29,phi_r_g,1.9075287860620411,2.0801514675325117,0.17262268147047055,0.021376363848035096,0.19399904531850565,0.17262268147047055
24000,30,phi_r_g,2.304038415849246,2.5520636020776912,0.24802518622844527,0.011770651396450393,0.25979583762489566,0.24802518622844527
30000,1,phi_r_g,1.965643647182092,1.8648361258539676,-0.10080752132812432,-0.13497198213813322,-0.23577950346625753,-0.10080752132812432
30000,2,phi_r_g,1.8599077264620094,1.884097659702097,0.02418993324008767,-0.6241187861197792,-0.5999288528796916,0.02418993324008767
30000,3,phi_r_g,2.575640081159965,2.4386067068166533,-0.13703337434331164,0.7901307978792691,0.6530974235359575,-0.13703337434331164
30000,4,phi_r_g,1.9080262405663937,2.070915876628013,0.16288963606161944,0.3676866586775809,0.5305762947392003,0.16288963606161944
30000,5,phi_r_g,1.8876163363167044,1.764143170205703,-0.12347316611100134,-1.1457178586469123,-1.2691910247579137,-0.12347316611100134
30000,6,phi_r_g,1.743020734564297,2.016396852275381,0.27337611771108383,-0.12781898072844133,0.1455571369826425,0.27337611771108383
30000,7,phi_r_g,2.077346752246336,1.8824009913971533,-0.19494576084918247,-0.11112037715041856,-0.30606613799960103,-0.19494576084918247
30000,8,phi_r_g,2.4205068306776623,3.0705124435827518,0.6500056129050895,-1.5298484445498373,-0.8798428316447477,0.6500056129050895
30000,9,phi_r_g,4.2257843199405976,2.398334530779428,-1.8274497891611694,0.3142996507161433,-1.513150138445026,-1.8274497891611694
30000,10,phi_r_g,1.978517134547997,2.1254697950638475,0.14695266051585043,-0.3806667152867427,-0.23371405477089224,0.14695266051585043
30000,11,phi_r_g,1.9716724186842445,1.7826772325917153,-0.1889951860925292,-0.7032907819968601,-0.8922859680893893,-0.1889951860925292
30000,12,phi_r_g,1.9224548459285575,1.985300493172357,0.06284564724379949,-0.10609369853175998,-0.0432480512879605,0.06284564724379949
30000,13,phi_r_g,2.0822981367079305,2.017002443695074,-0.06529569301285632,-0.4528769652606255,-0.5181726582734818,-0.06529569301285632
30000,14,phi_r_g,2.16135473123562,2.356248617164993,0.19489388592937296,-0.5064749561385011,-0.3115810702091282,0.19489388592937296
30000,15,phi_r_g,1.6598796072480804,1.9097913976691465,0.24991179042106615,-0.706964515551995,-0.45705272513092887,0.24991179042106615
30000,16,phi_r_g,1.6524154392373327,1.9931270612741376,0.34071162203680494,0.1840368849475973,0.5247485069844022,0.34071162203680494
30000,17,phi_r_g,1.918955737919596,2.057869872132096,0.13891413421249998,-0.6189425863424205,-0.4800284521299205,0.13891413421249998
30000,18,phi_r_g,1.7505035877783377,1.6057437057498527,-0.144759882028485,-0.3746018908949247,-0.5193617729234097,-0.144759882028485
30000,19,phi_r_g,2.0836157378770017,2.1292532633388337,0.045637525461831974,0.09340003710703337,0.13903756256886535,0.045637525461831974
30000,20,phi_r_g,2.2073224144076438,2.9045216435536116,0.6971992291459679,0.09140643759079747,0.7886056667367654,0.6971992291459679
30000,21,phi_r_g,1.564334860744917,2.2650419822689942,0.7007071215240772,-0.7288589620209789,-0.02815184049690167,0.7007071215240772
30000,22,phi_r_g,2.375217140105674,2.773647384332592,0.3984302442269181,-1.7148104662986086,-1.3163802220716905,0.3984302442269181
30000,23,phi_r_g,1.951912261487685,2.419480297697587,0.46756803620990217,-0.2676278308402775,0.19994020536962465,0.46756803620990217
30000,24,phi_r_g,2.0653012243594464,2.274898862709634,0.2095976383501874,-0.061430735141631665,0.14816690320855574,0.2095976383501874
30000,25,phi_r_g,2.5522572923938114,2.5841605414904945,0.03190324909668307,0.7417715925367281,0.7736748416334112,0.03190324909668307
30000,26,phi_r_g,1.9563456552203198,2.1082700839880033,0.15192442876768353,-0.24372729728412046,-0.09180286851643693,0.15192442876768353
30000,27,phi_r_g,2.0896027921860725,2.644749495149421,0.5551467029633486,-0.6006700108190874,-0.04552330785573888,0.5551467029633486
30000,28,phi_r_g,1.8302354433175845,2.3266335762290042,0.49639813291141976,-0.06447422832931249,0.4319239045821073,0.49639813291141976
