group,seed,episode,tau,phi_g
trained,1,2,-274,1.8666351822910394
trained,1,2,-269,1.7996152225536945
trained,1,2,-264,0.983908784898819
trained,1,2,-259,1.5600043625644548
trained,1,2,-254,1.5053497169724241
trained,1,2,-249,1.356619818068756
trained,1,2,-244,1.4929405438198777
trained,1,2,-239,1.445467991824616
trained,1,2,-234,1.3724679427793727
trained,1,2,-229,1.1808822673890345
trained,1,2,-224,1.1869072055552015
trained,1,2,-219,1.1988788473314862
trained,1,2,-214,0.6464059839402023
trained,1,2,-209,0.8479425438848802
trained,1,2,-204,0.8531952534001767
trained,1,2,-199,0.8770687387712361
trained,1,2,-194,0.9493958984470814
trained,1,2,-189,1.0262563181391124
trained,1,2,-184,0.8053123116192068
trained,1,2,-179,0.7897668181993813
trained,1,2,-174,0.7010286017271117
trained,1,2,-169,0.7269881623373353
trained,1,2,-164,0.9139594975029892
trained,1,2,-159,0.8665849924745164
trained,1,2,-154,0.9240456933021712
trained,1,2,-149,1.0892336931876985
trained,1,2,-144,1.2058022220384348
trained,1,2,-139,1.4342000573888456
trained,1,2,-134,1.4747353232334652
trained,1,2,-129,1.5997151453373222
trained,1,2,-124,1.5718348491362368
trained,1,2,-119,1.5727044880635168
trained,1,2,-114,1.430648007616611
trained,1,2,-109,1.4374535148632663
trained,1,2,-104,0.742395863834021
trained,1,2,-99,0.5570166393993373
trained,1,2,-94,1.2872957625885164
trained,1,2,-89,0.8906501830850855
trained,1,2,-84,0.8762145704846076
trained,1,2,-79,0.7792830870280281
trained,1,2,-74,0.7325941844398658
trained,1,2,-69,0.7363075703081425
trained,1,2,-64,0.8314972366173672
trained,1,2,-59,0.6345139084538655
trained,1,2,-54,0.7185291499334231
trained,1,2,-49,0.6554755085907047
trained,1,2,-44,0.7542862671076282
trained,1,2,-39,0.8379695440190742
trained,1,2,-34,0.4912151175462403
trained,1,2,-29,1.1385702940823006
trained,1,2,-24,1.660729740731829
trained,1,2,-19,1.8712793835286077
trained,1,2,-14,2.0834415171839185
trained,1,2,-9,2.0660269784990932
trained,1,2,-4,2.1346267864118853
trained,1,2,1,2.1237390762827095
trained,1,2,6,2.0175364070805974
trained,1,2,11,1.9264009226706709
trained,1,2,16,1.490137182922242
trained,1,2,21,1.5355907986746062
trained,1,2,26,1.5186917019708148
trained,1,2,31,1.4602982165430876
trained,1,2,36,1.4152243301405971
trained,1,2,41,1.360272656151178
