seed,episode,condition,phi_z_orig,phi_g_orig,phi_z_shuf,phi_g_shuf
1,0,clean,0.03279564881434058,2.4228445871593705,0.0070109613598780445,0.0073622941597144
1,1,clean,0.013706695885052855,1.2045527875502535,0.006844191331595102,0.010710149883577297
1,2,clean,0.039472028986253294,1.8632304830572903,0.008512970559293407,0.007627803859643745
1,3,clean,0.080851245401033,3.35406947990561,0.008357614265074054,0.014230380642468732
1,4,clean,0.042989250924636124,3.1895933081565064,0.01595301532957437,0.01731752483126518
1,5,clean,0.056835476449106026,3.381322990076019,0.012597159977763154,0.005795960062873644
1,6,clean,0.05265356783020428,2.8076584555880917,0.0045356722104125365,0.012777002221476865
1,7,clean,0.032131273615622444,2.866450121341078,0.011323621163196735,0.011731319463937814
1,8,clean,0.005069027401692253,3.5097368738431634,0.010715214255973765,0.005597256299120103
1,9,clean,0.017398129435524684,1.7886946418278786,0.008973567811327457,0.013457786126181906
2,0,clean,0.11680385044028985,2.292944577213144,0.009660465285185904,4.079320934705551e-05
2,1,clean,0.11353218431006384,2.722470760683184,0.01284570053473226,0.0038762366056332084
2,2,clean,0.031747347100758105,2.874872141225361,0.005939343356792799,0.00835278394951078
2,3,clean,0.026481686593064126,1.1993255580926785,0.006384286291111189,0.004315854746390883
2,4,clean,0.2697739139076978,2.355672815940568,0.013090793205343796,0.012539891042320528
2,5,clean,0.03242679851958519,2.767246073804374,0.005098874431758514,0.006184852355524591
2,6,clean,0.1583552217079115,2.4613651795448863,0.007956996603145224,0.010901720897504056
2,7,clean,0.1688098990685759,2.3040907025351283,0.0027963926979494937,0.007834937390317967
2,8,clean,0.027752527779819625,1.1574619256846057,0.01111810197471346,0.006725640987015595
2,9,clean,0.03419513053269348,1.5818328696024915,0.010369402980245579,0.007905664704519935
3,0,clean,0.055296353796854936,3.3723235044840045,0.009681819800376917,0.004351643238166594
3,1,clean,0.4656104127625476,3.284611501604603,0.010987774100912432,0.005280946703080428
