seed,episode,phi_r_z,phi_r_g,phi_r_joint,delta_phi_r,group
1,0,0.0029586956074316717,1.2888589230862166,1.438283103726239,0.14942418064002227,trained
1,1,0.006805939470592326,1.3039485113186429,0.7876831226304657,-0.5162653886881772,trained
1,2,0.010369478501336904,1.4853191730310418,1.4533057455998661,-0.032013427431175634,trained
1,3,0.003355181451700835,0.9228931673655085,0.8593106462970204,-0.06358252106848816,trained
1,4,0.014643394061515713,1.143497588285448,0.49090785242241985,-0.652589735863028,trained
1,5,0.013441478763201176,0.9326523441586398,0.5532958436238968,-0.379356500534743,trained
1,6,0.01054622539977701,1.5559442832434607,1.4960006774090233,-0.05994360583443736,trained
1,7,0.0074936395263824895,0.9100246755662109,0.7732273821931823,-0.1367972933730286,trained
1,8,0.0016106054982637681,1.139856395064662,0.8064903481540391,-0.333366046910623,trained
1,9,0.005290747797895179,1.175272300891609,0.6523745656454051,-0.522897735246204,trained
2,0,0.00462705266543656,1.1579353837852238,1.0349619567176664,-0.12297342706755732,trained
2,1,0.007886156378688374,1.3443360898194134,0.40410533381234204,-0.9402307560070714,trained
2,2,0.008593507724095062,1.6475951620388267,0.22516459254310495,-1.4224305694957218,trained
2,3,0.012005115167368186,1.2887960764185626,0.9907399972829976,-0.2980560791355651,trained
2,4,0.012244806845743694,1.4657304554047328,0.9245532294071966,-0.5411772259975361,trained
2,5,0.0114190022833182,1.2040759529487286,0.6091464305625447,-0.5949295223861839,trained
2,6,0.01135657335193882,1.302226847725947,0.46835456312593227,-0.8338722846000148,trained
2,7,0.011575941727291553,1.5329470560132963,0.6859393818903692,-0.8470076741229271,trained
2,8,0.006241847512148013,1.2567565850185038,0.9001361919186562,-0.3566203930998476,trained
2,9,0.00571742655531552,1.1149090118058513,0.90543817978192,-0.20947083202393135,trained
3,0,0.003238566936509313,1.136315141432193,1.1142165723626132,-0.022098569069579854,trained
3,1,0.005496273115885797,1.3154825633035387,1.2015905583267958,-0.1138920049767429,trained
3,2,0.014073332664184202,1.12861536710556,1.2358393761103128,0.10722400900475271,trained
3,3,0.001574852039089747,1.3196741732114583,1.4225891903690424,0.10291501715758411,trained
3,4,0.005532882067887157,3.829081564346754,2.661794397338281,-1.1672871670084732,trained
3,5,0.014941007860840086,3.1520091014299765,2.689600144428252,-0.46240895700172446,trained
