group,condition,seed,episode,base_part0_to_whole,parts_to_whole,part1_to_whole,whole_to_part0,whole_to_parts,whole_to_part1,whole_to_whole,part0_to_part1,part1_to_part0,group_decoupling,group_downward,group_part_driven,phi_r_total
trained,clean,1,0,0.6599217013405188,0.17360568975093438,0.9728422322597279,0.7764246533694087,0.027211872643361,0.64616676325958,-0.30943427253214617,-0.6755648152847422,-1.0781506146228166,-0.30943427253214617,1.4498032892723498,0.05265419344362221,1.1930232101838258
trained,clean,1,1,0.0,0.8777202100600665,-0.012688569851886156,0.6848562640510638,0.13881308587265528,0.0,0.42986148952299574,0.0,-0.7902878009882823,0.42986148952299574,0.8236693499237191,0.07474383921989802,1.3282746786666129
trained,clean,1,2,0.19028561138187916,0.8005060132238215,0.14914073100715708,0.0675124227807623,0.05902157816945386,0.8115366524342735,0.39450468138184935,-0.932170467097546,-0.13567865965647974,0.39450468138184935,0.9380706533844897,0.072083228858832,1.404658563625171
trained,clean,1,3,0.0,0.5248817760582847,0.468967043177706,0.5719755010038319,0.009515540654720933,0.0,0.24155818940574392,0.0,-0.9535837619715598,0.24155818940574392,0.5814910416585528,0.04026505726443086,0.8633142883287276
trained,clean,1,4,0.5874958807945826,0.4760624840146297,0.48089576608949414,0.7075327128120232,0.3001414984801061,0.3798277945608888,-0.23797137650029954,-0.6178262829477612,-0.7897874462106558,-0.23797137650029954,1.387502005853018,0.13684040174028933,1.2863710310930079
trained,clean,1,5,0.01882326590553607,0.6411201370313067,0.19922569645033228,0.5826747007635108,0.10856495548631617,0.0,0.1161654810488506,-0.018953274450980245,-0.7056055352191776,0.1161654810488506,0.691239656249827,0.13461028971701716,0.9420154270156947
trained,clean,1,6,0.09297269526618201,1.2295426002357215,0.17742250728946596,0.0,0.2646096963686253,1.0815525583390813,0.08604396150650828,-1.184907866364449,-0.18550368431002817,0.08604396150650828,1.3461622547077066,0.12952625211689228,1.5617324683311071
trained,clean,1,7,0.14636945571012983,0.6686705617458611,0.19879551590939804,0.5890776898197901,0.19880652491876294,0.01422699639579128,0.022040146915500713,-0.16795367681970624,-0.7604298461313752,0.022040146915500713,0.8021112111343444,0.0854520104143075,0.9096033684641526
trained,clean,1,8,0.0,0.9470503495728595,-0.011273732947418846,0.738657609766207,0.09350379499530115,-0.03208325191710326,0.3175746059977267,0.0,-0.8768616745992437,0.3175746059977267,0.8000781528444049,0.05891494202619696,1.1765677008683284
trained,clean,1,9,0.39976789557871695,0.3095589317995153,0.37831425505202987,0.5957128414439204,0.10189893124639116,0.30736710729712524,0.05762391165806502,-0.402246973190044,-0.6453551024567108,0.05762391165806502,1.0049788799874368,0.04003900678350747,1.1026417984290093
trained,clean,2,0,0.012462094863588069,0.6501226580400079,0.2850135969414127,0.0028627493177035834,0.31561001897303453,0.5572856363857653,0.21103192130358117,-0.5634344844520056,-0.26736757660964217,0.21103192130358117,0.8757584046765035,0.1167962887833609,1.2035866147634455
