seed,episode,phi_z_pre,phi_z_post,phi_g_pre,phi_g_post,group
1,0,0.003614004794808917,0.012752168899015981,1.0718995421520339,0.8187403458324847,trained
1,1,0.009177737773286093,0.04590652025982989,1.4559891255384458,1.0263385657929693,trained
1,2,0.010695988983761728,0.020040699118795482,1.7173726175968924,1.1619910102763746,trained
1,3,0.00332171902809604,0.022136647266062903,1.8615899999507828,0.9462725612187426,trained
1,4,0.017328828824053497,0.029029247676214218,1.5195312713398426,1.1948463873681046,trained
1,5,0.032401667734706124,0.012851805095552955,1.256644990092111,1.0991879325947214,trained
1,6,0.01656209270491629,0.03909888140861628,0.8990863589600925,1.1994845469570792,trained
1,7,0.029163398662768847,0.02648037584667723,0.7163601262376905,1.0758864084614461,trained
1,8,0.003020397970574566,0.04033098356964858,1.4772206898850273,0.9858874248460867,trained
1,9,0.017770443384479515,0.005159170666136248,1.2525659361800328,2.187707306093605,trained
2,0,0.00874260115342812,0.034376544472375814,0.9035884592231522,1.313653928305334,trained
2,1,0.005595581953865336,0.009543547291220839,1.2145567500898662,0.6340263361950308,trained
2,2,0.01398914951296093,0.021958086042947966,1.0142341840247453,1.0666856731490308,trained
2,3,0.010163884812135641,0.008683265368681525,1.8254016512700524,1.635704024278758,trained
2,4,0.015517387211297973,0.005800871035999744,1.2690250553442375,1.6333046412180794,trained
2,5,0.020927695747970876,0.019227099932502767,1.2010934376552744,1.1943981294500887,trained
2,6,0.00620156049353443,0.006112502699822497,1.4481569265875793,0.644972693987524,trained
2,7,0.014153881935484836,0.015143619396020574,1.4224315434690746,1.1381509066535025,trained
2,8,0.011697590925701912,0.02685374988733738,1.2417822283161617,0.9822215726327291,trained
2,9,0.01466722431581824,0.020226498373352726,1.1224497145254644,1.7082216257230902,trained
3,0,0.007145300671982047,0.0171415603326725,1.3076792659161633,1.3169443249155823,trained
3,1,0.003683330264002499,0.047748974691830426,1.4727957999302737,1.0493704140684652,trained
3,2,0.02345495673807524,0.022050920593044504,1.101789061692859,1.2489463973781234,trained
3,3,0.0029213408056398826,0.02827343993726461,1.1070143862725133,1.5761354308868585,trained
3,4,0.010691071254613382,0.03913070518574302,3.277642060795025,1.8777375932206977,trained
3,5,0.009195153280635566,0.009871319451863925,3.9518044132759735,1.52080668422147,trained
3,6,0.017865079725400135,0.04595197923989902,1.001329138478246,1.6237091940237562,trained
3,7,0.025324784140052223,0.019838462698568343,1.7677581079037437,2.278906139105355,trained
3,8,0.015244355486728423,0.06264153155257465,1.8353583198425618,1.3246763552676672,trained
3,9,0.007881195155835297,0.06381908824660942,1.3897893572126916,1.022741739132154,trained
4,0,0.00837292116757793,0.016098481546859444,1.4559922169630544,0.6494913603536778,trained
4,1,0.004046745604692731,0.008913507568706902,3.238766832330132,2.1607398627415675,trained
4,2,0.027023136516442947,0.013017325762589682,0.9590838058253767,0.9460764661972958,trained
4,3,0.007039052268696944,0.010709731082359675,0.9062759628256896,0.9471296951544697,trained
4,4,0.003697828926531588,0.04557978036654431,1.5187393032025118,1.4536747988618717,trained
4,5,0.050762865568750065,0.007393916233386033,0.6766312518197741,0.744457863983855,trained
4,6,0.026666235043398656,0.008042147871635265,0.9424333270820474,1.633255162915772,trained
4,7,0.042773559910215614,0.023449062159283923,0.9295093247166712,0.9483009294213676,trained
4,8,0.012652083631739183,0.03479611203853117,1.7359743820083315,1.1215776497993155,trained
4,9,0.011120476815111358,0.019205786241003553,1.3257515141265341,2.109675162887548,trained
5,0,0.023364252490705534,0.056214802679771136,0.7280344682788709,0.7676620944320964,trained
5,1,0.007052017897991453,0.0057078458237517955,1.4403988030275254,1.1845119771658132,trained
5,2,0.015784892986393836,0.01570293350754226,2.049088266260895,1.0512372829385204,trained
5,3,0.010388327872054404,0.018329084305363008,0.8813957048765396,1.6996396983601931,trained
5,4,0.007866300951768934,0.02103683744154758,0.9715089368841178,0.8458668819600501,trained
5,5,0.013299258811027143,0.034418967871887446,0.784375619874558,1.4374599791637719,trained
5,6,0.02773489499763769,0.040796446586017,1.1294657897027758,0.903857834666048,trained
5,7,0.006397784476817547,0.05835332070035322,0.9508255431077807,0.917282611854063,trained
5,8,0.007869518493605461,0.03183018545148952,1.7047834661895798,1.309000019981068,trained
5,9,0.008214564576936811,0.025262913534109324,1.5706812501355927,1.4264617280558929,trained
6,0,0.007371401332804936,0.006370970287292055,1.569081754849221,1.8382670334275684,trained
6,1,0.011581551857756223,0.021171110178408115,1.3136194293727723,1.438389054481422,trained
6,2,0.0052784908000277075,0.00950243927285177,1.5753953704554196,1.6817394979117943,trained
6,3,0.022671534757443657,0.017370027547752742,1.086755098197802,1.8082360364405814,trained
6,4,0.0076188008132183314,0.02406311441328357,1.1558478731695663,0.9050890185186843,trained
6,5,0.022627476578149508,0.014983890165365417,0.8296585195215089,0.9361398845751576,trained
6,6,0.01914017452620683,0.019373272274389397,1.5931471258533922,1.609491137404558,trained
6,7,0.025715319946443077,0.04328735081891777,1.0258021704353553,1.3161783390578239,trained
6,8,0.008138626440773067,0.026462717484813283,1.4950910507171407,1.0898302031278773,trained
6,9,0.012620186125485044,0.022907924935042262,1.808245076340528,1.4218551035596356,trained
7,0,0.008504798575553193,0.017235653956238606,1.844337766313739,1.189835140779823,trained
7,1,0.005073364731252639,0.02502759173089117,1.0086254576466551,0.8937383733523787,trained
7,2,0.022790578758210722,0.02108571081205264,2.121627703508226,2.0437914708303895,trained
7,3,0.011327226854733002,0.007088157276406215,1.7672075153692086,0.7345594440470342,trained
7,4,0.018746992267694496,0.023269855482486,2.3977109978902242,1.0028742222928757,trained
7,5,0.004516299757345799,0.029138833809156175,0.9956545582586105,1.0157440814538996,trained
7,6,0.01604546350804814,0.01726335396055456,1.2075006582967238,1.0586811891480021,trained
7,7,0.01627531550585032,0.0189598887976819,1.7072749584753872,0.9737433549386655,trained
7,8,0.01029108720699301,0.05552336442975192,1.248692175202355,1.345493702795313,trained
7,9,0.01004477727484776,0.001969212513581786,1.0035625856310395,1.7379282911782432,trained
8,0,0.011765958991725,0.04076603616078056,1.3068867811206206,0.9208709784081271,trained
8,1,0.013489281310694733,0.0016690608939880086,0.9315629339884361,0.851483847520983,trained
8,2,0.019037215431450566,0.007460398568267745,1.2109591856858448,0.8721756481043457,trained
8,3,0.009042110247904883,0.01867807944937061,1.1035107798223558,1.1112429018535828,trained
8,4,0.00979445912851623,0.01263301236446518,0.778189087432539,0.7389249991705867,trained
8,5,0.01017064858609748,0.009205588944003196,1.0786039035443573,0.7228511402954563,trained
8,6,0.006275735929202594,0.020577114980278283,2.0863412746316548,0.9157900084448845,trained
8,7,0.01505503919430351,0.007514436297594296,1.5630853784815066,1.2089896200250931,trained
8,8,0.01574425929311149,0.004594096433373565,1.31602963290076,0.743413705343156,trained
8,9,0.017616416921839767,0.01541352002224583,1.3928616069428892,0.9759310214367876,trained
9,0,0.007371428072708852,0.03384430192448512,1.2322194329690626,1.10460924778943,trained
9,1,0.003285955220570222,0.05641197034209128,1.4968089405805203,1.26468824073235,trained
9,2,0.008675679507068546,0.02847442390194793,1.2291415916764097,1.0201897590419349,trained
9,3,0.018921090384134753,0.004698015263016109,1.4804750587862463,0.710718842026316,trained
9,4,0.0052953486737253586,0.03330194463956321,3.1565804916024027,1.0565579674575596,trained
9,5,0.010445648863444151,-0.00017356782228987455,1.054082265624625,1.1339881380796057,trained
9,6,0.013084011404143114,0.040483052471542304,1.6172268177256215,1.1123735498448681,trained
9,7,0.006759267751206277,0.013406770928614059,2.8267978457313903,1.3610170293992785,trained
9,8,0.00714109168523476,0.01900255394070731,1.5498461807922008,0.9805575279540816,trained
9,9,0.01351220992527169,0.03310014416273227,1.8579878301803847,1.2332916113749892,trained
10,0,0.0064866031148233805,0.018083549565641732,0.9545562096034688,1.1146153154543765,trained
10,1,0.029593654445517426,0.009345145810498917,0.8714582071039798,0.8817101316822213,trained
10,2,0.026692305127449134,0.0250541059845526,1.0621943770573612,1.7045904720413052,trained
10,3,0.006128988263014612,0.010384787579618415,0.8693606998156195,0.9821797769571088,trained
10,4,0.01638346435126345,0.014535103270057331,1.111567564425597,1.066485040236428,trained
10,5,0.012619077329014516,0.032378447523157494,1.3320231215287914,1.1235564003734326,trained
10,6,0.022914178534488183,0.012804485116913983,1.054604711013821,1.5681182380099514,trained
10,7,0.012064154634619462,0.02228816498078663,1.0100563548114403,1.1623903671185805,trained
10,8,0.00784390522244438,0.011142542489869928,1.098518540160288,0.8683789330171487,trained
10,9,0.022382138054058615,0.02433049847789996,0.907531460734561,1.489089570879956,trained
11,0,0.02514075559846172,0.029846530211249202,1.1531800675801644,1.5087691313422256,trained
11,1,0.013744905635853677,0.019647927016408273,1.420629604944872,1.0375042926677054,trained
11,2,0.023819199560163096,0.0332324310152918,1.3010568891278955,0.9295741080613285,trained
11,3,0.0070860476503378095,0.028918613401359164,0.900852049344344,1.447932396060262,trained
11,4,0.01131945756605579,0.04211749404141574,1.201420897219054,1.1525442273941802,trained
11,5,0.016522500602095307,0.03211812475648268,0.7811926936552955,1.3860919674402057,trained
11,6,0.01649440978489647,0.07310098699474349,1.4881819193975048,0.8323344516517743,trained
11,7,0.005372468077964265,0.0498044292795351,1.6193016528649382,1.5344714808460491,trained
11,8,0.0170397893775337,0.01232148324555947,1.2661355906048417,1.7145177385511867,trained
11,9,0.013112093751431464,0.027550303295306142,1.4319512826947745,1.9892400045165428,trained
12,0,0.006135720562525204,0.012561868311663338,0.8977133001702837,0.9246175123857907,trained
12,1,0.01900842517620066,0.013847854920435873,1.0791750536960212,1.1601415032773654,trained
12,2,0.04567940858700981,0.0157917238586619,1.4468844188322585,1.2289920752705599,trained
12,3,0.018702704702055394,0.012245668594308728,1.1826423902319831,1.1946287275941876,trained
12,4,0.008538887642752659,0.01996512531346356,1.5214202563160577,1.1559631257663256,trained
12,5,0.020744007441519857,0.016844740686346782,0.9137620406670981,1.1146792440959978,trained
12,6,0.004014359001258239,0.020561171561266023,1.4554002720659256,0.8041157018751304,trained
12,7,0.019528821316832132,0.04674114450049259,1.3609190872359127,1.0832136288503316,trained
12,8,0.00771753840365675,0.036177439707156506,0.9663163813133431,0.9056799822846519,trained
12,9,0.012527891638764957,0.021550224387356542,1.074011074530036,1.1311364356315678,trained
13,0,0.0025535543790168314,0.008883295054204127,1.2457945851877588,1.5412273736013233,trained
