seed,episode,phi_g_orig,phi_g_shuf,group
10,4,1.0381822480871796,0.014145857932179743,trained
10,5,1.116512121475219,0.014922530190663598,trained
10,6,1.0467607501042533,0.026915611096285482,trained
10,7,0.9180849524321726,0.006306540124041758,trained
10,8,0.9807663907960373,0.007363089153147197,trained
10,9,1.041645482211146,0.005001107085386716,trained
11,0,1.1363586279006097,0.01446335989398799,trained
11,1,1.3416724953877572,0.006105961678188536,trained
11,2,1.2919531127949344,0.007889316977650376,trained
11,3,1.7631139098988373,0.008273449144772974,trained
11,4,1.8238233596424864,0.02174199358113534,trained
11,5,1.334053908470919,0.012151032568453598,trained
11,6,1.2001613671742803,0.012947460253867726,trained
11,7,1.5245212593192081,0.013021719002015686,trained
11,8,1.5082080427788993,0.006304153312328471,trained
11,9,1.4796804992224275,0.0067928423923299674,trained
12,0,1.0142431584052607,0.009098135301941312,trained
12,1,0.9243289178652536,0.00795587734271839,trained
12,2,1.4860220659805778,0.0069162792411823866,trained
12,3,1.2125708826255033,0.02047306811160909,trained
12,4,1.4184240174399103,0.008916386367045113,trained
12,5,1.902199698412892,0.006457728839671099,trained
12,6,1.3038480688263023,0.010055376642900972,trained
12,7,1.2658485853340649,0.01010492400614782,trained
12,8,0.9714367748779447,0.01176716958117253,trained
12,9,0.9893458996414952,0.008609181716501246,trained
13,0,1.365211461442875,0.0071231166422226115,trained
13,1,0.7865179969217226,0.008218857103497774,trained
13,2,1.1530797583004837,0.005090105112246617,trained
13,3,1.038464421355459,0.006668989242158141,trained
13,4,1.1763515761299055,0.009338073155385346,trained
13,5,0.7836826893682598,0.02025022176211942,trained
13,6,1.0623730801969786,0.005446607491448961,trained
13,7,1.110967704147861,0.014990798049600962,trained
13,8,1.1121223777250755,0.009864626136510402,trained
13,9,1.829369521482816,0.01237004909736548,trained
14,0,1.0400163163654763,0.005670073566065061,trained
14,1,1.0814862252078261,0.008268084679758043,trained
14,2,0.9810833355931029,0.006336976577828913,trained
14,3,1.1131452227971084,0.008663198691339054,trained
14,4,0.9468276053377453,0.01976322273487353,trained
14,5,1.1928130537248354,0.014740599018099777,trained
14,6,1.7595968652113911,0.008085868885801142,trained
14,7,1.130232038644393,0.008408983256714292,trained
14,8,1.025111859150786,0.0035634851662898572,trained
14,9,1.1018124872161799,0.017229000819140933,trained
15,0,1.1581197072080607,0.01772110558088447,trained
15,1,0.965777261941378,0.01756976572838369,trained
15,2,1.1349750625215558,0.008363028071649422,trained
15,3,1.0961638939466347,0.008337342646932477,trained
15,4,0.9378127412920971,0.007846538524419683,trained
15,5,0.9258578535410081,0.010800310449120625,trained
15,6,1.2771044639027331,0.00803219364997441,trained
15,7,1.0336544396721856,0.00853304626226555,trained
15,8,0.9885025803606323,0.016425830581970235,trained
15,9,1.3186875044709678,0.011063629478275105,trained
16,0,1.863472333646817,0.00482222778130386,trained
16,1,1.1960214578689086,0.004647769810182316,trained
16,2,3.3863022909562592,0.008019557761459692,trained
16,3,1.258368618636215,0.004776148330324202,trained
16,4,1.0364795544789753,0.0048521346966535804,trained
16,5,1.6492212348902906,0.007556290039819086,trained
16,6,1.3305403792218355,0.00656553564197386,trained
16,7,1.1754097912633505,0.009470623081778326,trained
16,8,1.34294245281014,0.008936464068617913,trained
16,9,1.4588348451741355,0.010016250937520546,trained
17,0,0.9481468148604876,0.011619984973423586,trained
17,1,1.3075832053263254,0.0056538645326355596,trained
17,2,1.521189542756792,0.01216545301220461,trained
17,3,1.0789102680448324,0.009399839205364654,trained
17,4,2.6991910684891165,0.005605253603000946,trained
17,5,1.1109013048617902,0.0023687679754038995,trained
17,6,1.2638198675509935,0.005332500732303448,trained
17,7,0.9817094000126061,0.006564777168848161,trained
17,8,1.2698459080391111,0.006681110146550484,trained
17,9,1.2170430716477028,0.007105890544619122,trained
18,0,1.4082248296077884,0.008479886222960106,trained
18,1,1.3790597238022673,0.0120840987437976,trained
18,2,1.1632005000059864,0.011018683067181663,trained
18,3,1.1716343745190678,0.005997139641561439,trained
18,4,0.9597480375455248,0.01789276254001269,trained
18,5,1.0197088127361122,0.006642194440406475,trained
18,6,1.219968265640297,0.004186507414459119,trained
18,7,1.3045776092078438,0.005403148002875354,trained
18,8,1.0359995388997416,0.006981594745209203,trained
18,9,1.235189019623633,0.02009477277921871,trained
19,0,0.9980045275912156,0.01018215831927455,trained
19,1,1.7150170471268762,0.004196589283678405,trained
19,2,1.3419118733049946,0.010112736937393979,trained
19,3,2.0134649219226564,0.006892201936055132,trained
19,4,2.4081496726231744,0.005755637378608115,trained
19,5,1.4523655227314836,0.010568277797615225,trained
19,6,1.4787659477767165,0.008254618042243443,trained
19,7,3.3979645088029007,0.011800071822180624,trained
19,8,1.728498890543574,0.00769348377349055,trained
19,9,1.23022257463801,0.00733369142159751,trained
20,0,2.6972214620620205,0.003021921136109588,trained
20,1,2.0851770301084067,0.005133542905837202,trained
20,2,2.357487822600901,0.008486098576476022,trained
20,3,1.360363387681604,0.0100527246570217,trained
20,4,2.407495763419907,0.01511811955882209,trained
20,5,1.284892154874619,0.009527758893809508,trained
20,6,3.9885348115871344,0.007700879661252759,trained
20,7,1.0640577063561967,0.012221116691256048,trained
20,8,1.371843929628459,0.009715067707356362,trained
20,9,1.5688225350294274,0.013370215351213558,trained
21,0,1.2595854408607474,0.012261059226085502,trained
21,1,1.054179239752044,0.0073765713662236375,trained
21,2,1.263037565274296,0.006903184497278485,trained
21,3,1.7214801994143674,0.005981789654254323,trained
21,4,1.278213223979492,0.005827952680801583,trained
21,5,1.0689354779688274,0.012621158425211535,trained
21,6,1.5266928365610775,0.0053394757762761,trained
21,7,1.3863292897193493,0.010385028181984756,trained
21,8,1.0314347868853806,0.009380132809478714,trained
21,9,0.9685329271739251,0.007258289404810887,trained
22,0,1.397450044314731,0.011434275967048971,trained
22,1,1.4221435225399277,0.006667843362687341,trained
22,2,1.1735690613071765,0.00943517262830799,trained
22,3,1.7524763424003826,0.010705807461989743,trained
22,4,1.392641822170868,0.013941621499246817,trained
22,5,1.9439118341411934,0.004353496895638371,trained
22,6,1.7821119207092735,0.007419951206605259,trained
22,7,0.726564179185984,0.006292966937296508,trained
22,8,1.5840462757848386,0.011287378927654246,trained
22,9,1.957079095319543,0.010595646090485028,trained
23,0,1.2914952466323433,0.0192869852035627,trained
23,1,1.349346085976792,0.007690047990085924,trained
23,2,1.1990979163053062,0.013146827740372827,trained
23,3,0.9906406318729412,0.008400490506446472,trained
23,4,1.1899661161709392,0.005069566104834615,trained
23,5,3.0544342709095327,0.006712681749558071,trained
23,6,1.1151546546143194,0.003923546339367906,trained
23,7,1.1791758613501333,0.012894194500905959,trained
23,8,1.5357286477036194,0.00478453618222154,trained
23,9,1.183731514066418,0.009518255652125537,trained
24,0,1.1783701918818652,0.015453538662600743,trained
24,1,1.5543731909689056,0.017609505148227168,trained
24,2,1.7470169121351762,0.007694394393063704,trained
24,3,1.7246191908817248,0.007486936156718638,trained
24,4,2.175483984449613,0.011164630086415862,trained
24,5,1.096420649639234,0.007455948259470976,trained
24,6,3.7289302735694614,0.0043207465684316415,trained
24,7,1.5937266038889175,0.010066577086507662,trained
24,8,1.5276275059160818,0.009056280705459453,trained
24,9,2.9946510007472096,0.0034508841701309293,trained
25,0,1.459539893876617,0.008879028508126205,trained
25,1,2.663361804847554,0.0058287555688718755,trained
25,2,1.6754525323293321,0.010113217578091421,trained
25,3,1.600361465747853,0.004702262677134038,trained
25,4,2.071909866093537,0.0072585217967371385,trained
25,5,1.2337037902461665,0.006387221689398988,trained
25,6,1.247424364481251,0.008937980287592753,trained
25,7,1.1073286674677743,0.0048390864660730615,trained
25,8,1.055114778487468,0.0049016918770335245,trained
25,9,1.8123757662432016,0.006198565445282352,trained
26,0,1.7934767491839334,0.014245152682120394,trained
26,1,2.206926114014608,0.007457655861702622,trained
26,2,1.2373983976995628,0.008941482771125534,trained
26,3,1.3257435073023536,0.01822963230905197,trained
26,4,1.0545097923662206,0.013355693496507651,trained
26,5,1.0434303127346474,0.017053827258807375,trained
26,6,3.819498650238243,0.015357680616708697,trained
26,7,1.7788609658333485,0.0065859968565604625,trained
26,8,0.9740998196011765,0.010879898713981269,trained
26,9,2.089427148937549,0.009838146736736055,trained
27,0,0.9333258297343584,0.009287742170480506,trained
27,1,1.5372581224477981,0.00517972812800233,trained
27,2,0.9302459069602583,0.007035409581727626,trained
27,3,1.426882990682391,0.017709979766186917,trained
27,4,2.354619225234722,0.003638895242337315,trained
27,5,0.7967989844523586,0.013725433744813461,trained
27,6,1.2027820584912823,0.00871919502258735,trained
27,7,0.8869426777109138,0.0038541873264104818,trained
27,8,1.3454410280169993,0.010193281452704919,trained
27,9,1.3086985009892929,0.006360380724705701,trained
28,0,1.1682085074006057,0.0030450223828452096,trained
28,1,1.4306120309050852,0.006212327739738646,trained
28,2,1.9684947685452874,0.00715936189148534,trained
28,3,1.0400063512404105,0.018704996960637932,trained
28,4,1.1615379461467388,0.006505320954459448,trained
28,5,1.039509342451626,0.010912981259741578,trained
28,6,0.9889641312932939,0.012375600515623272,trained
28,7,1.350739398613113,0.0059512447653128075,trained
28,8,1.0688685188725988,0.008232038744123584,trained
28,9,1.130335458931289,0.009415727611523659,trained
29,0,2.0475733585931066,0.00460188446361155,trained
29,1,1.1830444881922486,0.008084441288850665,trained
29,2,1.3811840706158471,0.009027796856430362,trained
29,3,0.96218566117208,0.00806196119620245,trained
29,4,0.9398857803833399,0.011466791144428798,trained
29,5,1.2600013137649775,0.01319127308145753,trained
29,6,1.8044784641818756,0.014711240747864285,trained
29,7,1.4345300019369671,0.010034043112055685,trained
29,8,1.5236944247057436,0.007872084383298332,trained
29,9,1.9725648968883016,0.01629543894062409,trained
30,0,1.1180929572421445,0.006776978367209224,trained
30,1,1.1199123992673863,0.006961870717431452,trained
30,2,1.2500364268116184,0.009434919665836908,trained
30,3,1.1656580646658885,0.00887691213782924,trained
30,4,1.2259535466264255,0.009000569477397571,trained
30,5,1.2087568161031532,0.006922644829557671,trained
30,6,1.0510229863767695,0.007093557761408468,trained
30,7,0.948469789716985,0.0072211214994380435,trained
30,8,1.3613714939185901,0.00980054521963633,trained
30,9,1.123650181763189,0.015564386535995215,trained
