episode,phase,T,phi_r_z,phi_r_g,phi_r_joint,delta_phi_r,seed,condition
8,post,121,0.0317848684985409,1.6882483890361306,0.6625238636849099,-1.0257245253512206,1,p20
9,pre,119,0.11648229144909919,1.9755656490077755,1.7598962113802208,-0.21566943762755475,1,p20
9,post,121,0.017395639517485434,1.1512325646872255,0.507001021509677,-0.6442315431775485,1,p20
0,pre,119,0.3253466741520852,2.4175316679136825,2.5399278036552597,0.12239613574157726,2,p20
0,post,121,0.0454148948266707,1.5922590237524912,0.28981448341829513,-1.302444540334196,2,p20
1,pre,119,0.0850105168581259,3.060091091716154,2.1880078242203886,-0.8720832674957655,2,p20
1,post,121,0.016108326951217306,1.13650900423326,0.40214337282578033,-0.7343656314074796,2,p20
2,pre,119,0.0963185708313167,2.6406328203711316,1.9265014731895036,-0.714131347181628,2,p20
2,post,121,0.017030544027586976,1.5479406182241957,0.3935308672269949,-1.154409750997201,2,p20
3,pre,119,0.10954037544917411,1.6840627481304362,1.6604328470302065,-0.023629901100229667,2,p20
3,post,121,0.03901418097624304,1.455844889667551,0.3419358714843558,-1.1139090181831954,2,p20
4,pre,119,0.367479173946201,2.618933450273565,2.447441021125002,-0.17149242914856266,2,p20
4,post,121,0.025432566511909255,1.6529065922880042,0.28455507851364736,-1.368351513774357,2,p20
5,pre,119,0.03551722767980149,2.866669007991197,1.866317933825111,-1.000351074166086,2,p20
5,post,121,0.025964586231308144,1.78765270079929,0.3526497365903932,-1.4350029642088966,2,p20
6,pre,119,0.21703591491552615,2.685916873452351,2.1492408343616427,-0.5366760390907084,2,p20
6,post,121,0.014635592656051077,1.2300643636137827,0.44283516454014704,-0.7872291990736356,2,p20
7,pre,119,0.2833567903280124,2.01016162350494,1.6400227381055295,-0.37013888539941076,2,p20
7,post,121,0.038098435911177696,1.1361444674619192,0.5251403568938624,-0.6110041105680568,2,p20
8,pre,119,0.0587792005381122,1.0122174504032193,1.498797659584642,0.48658020918142264,2,p20
8,post,121,0.014753499396022728,0.6424506056291261,0.39192887971089363,-0.2505217259182325,2,p20
9,pre,119,0.016885452706006616,1.3039152413860955,2.22548098422451,0.9215657428384145,2,p20
9,post,121,0.023102329883598158,0.7943519372025578,0.6729598358159923,-0.12139210138656553,2,p20
0,pre,119,0.23504045665432535,3.6601467400773733,3.4576290641659533,-0.20251767591142,3,p20
0,post,121,0.0724838276526116,1.8631326948534381,1.457778362267643,-0.4053543325857951,3,p20
1,pre,119,0.49647070113281777,3.1717424785367454,4.0610246573915685,0.8892821788548231,3,p20
1,post,121,0.0053975376816614296,1.880226036841234,1.9666306554747897,0.08640461863355564,3,p20
2,pre,119,0.038040222610858695,1.0530804893824115,2.875207138965136,1.8221266495827244,3,p20
2,post,121,0.04243336339452879,1.1917636784610444,1.251719705359333,0.059956026898288606,3,p20
3,pre,119,0.034009215707400176,3.0337420260828436,2.0500216386942736,-0.98372038738857,3,p20
3,post,121,0.014060275565035855,1.2117368282028542,0.7655327099885465,-0.4462041182143077,3,p20
4,pre,119,0.023620799814563664,3.4458718573715292,2.6827905459532886,-0.7630813114182406,3,p20
4,post,121,0.018567242845631084,2.337253706034489,2.5774604877972216,0.24020678176273247,3,p20
5,pre,119,0.19589905399170854,4.512670816321869,4.883553845473365,0.3708830291514964,3,p20
5,post,121,0.01716843792696235,1.537258559500539,0.6659303069132392,-0.8713282525872998,3,p20
6,pre,119,0.011343760727336241,3.552595811163343,2.549422332577315,-1.003173478586028,3,p20
6,post,121,0.021650233207005973,1.1338224099879637,1.4813633756739137,0.34754096568595005,3,p20
7,pre,119,0.17908495533811608,4.994531673964387,3.5468872325476726,-1.4476444414167142,3,p20
7,post,121,0.005269270643896262,1.8427742508052054,1.379272582513631,-0.46350166829157446,3,p20
8,pre,119,0.15626176168166972,4.895714864467582,4.411139169871438,-0.4845756945961437,3,p20
8,post,121,0.02111490019079368,1.2352673902876794,1.3670923790326475,0.13182498874496806,3,p20
9,pre,119,0.05497967804926493,1.3696220430230694,1.6434305814605485,0.2738085384374791,3,p20
9,post,121,0.016391082627163392,1.610588180965348,1.6072812826529739,-0.0033068983123740736,3,p20
0,pre,119,0.01348828715849533,0.8538119844033414,2.5996701081085427,1.7458581237052013,4,p20
0,post,121,0.05562999493805421,0.8960254492074946,0.5455620287890763,-0.35046342041841827,4,p20
1,pre,119,0.08429487468043537,3.721881872721256,3.193964924308807,-0.5279169484124488,4,p20
1,post,121,0.018108877935315765,0.7806460720576318,0.9855921250993167,0.2049460530416849,4,p20
2,pre,119,0.13024701903153996,1.9728295045267759,1.2931946444108633,-0.6796348601159126,4,p20
2,post,121,0.030832156825801062,0.7779204710911203,0.8712421121837881,0.09332164109266783,4,p20
3,pre,119,0.02594003760304972,2.770792387464444,2.8443765320872405,0.07358414462279672,4,p20
3,post,121,0.04798889363697342,1.027173416833772,0.9598388724883392,-0.06733454434543285,4,p20
4,pre,119,0.11083166415886903,1.2196493432582822,0.8203848572961967,-0.3992644859620855,4,p20
4,post,121,0.08778019283365018,1.0553217756748001,1.2383138594295386,0.18299208375473852,4,p20
5,pre,119,0.010155421387585198,1.887397139632223,1.567250876926416,-0.32014626270580715,4,p20
5,post,121,0.040627364529090416,0.6346864399140308,0.5739136367349875,-0.06077280317904332,4,p20
6,pre,119,0.07018840457873544,2.433025232891876,1.1939808252673996,-1.2390444076244767,4,p20
6,post,121,0.008534512999614968,1.0682241218490183,0.9030468583157465,-0.16517726353327178,4,p20
7,pre,119,0.11219117168967983,2.588520033349167,1.984259364768465,-0.6042606685807019,4,p20
7,post,121,0.042660933486513286,1.2107223413260153,1.2143066470446808,0.003584305718665526,4,p20
8,pre,119,0.18373105007161875,0.610564480811098,0.9360974409897109,0.3255329601786129,4,p20
8,post,121,0.012155888855656313,1.3860555440041196,1.0867160225493095,-0.29933952145481,4,p20
9,pre,119,0.05879910531575221,2.933120714327721,2.219482465391506,-0.7136382489362152,4,p20
9,post,121,0.037690497156033315,1.4688917218061905,0.9228017231550603,-0.5460899986511303,4,p20
0,pre,119,0.18022656473782228,1.307174010672628,2.8802338336130036,1.5730598229403756,5,p20
0,post,121,0.013202456863013355,1.4123857995071911,1.9460099565542444,0.5336241570470532,5,p20
1,pre,119,0.1411411571971301,2.304390444608222,2.599050487697309,0.2946600430890869,5,p20
1,post,121,0.04146338229114292,0.661787452315703,2.1297886249435662,1.4680011726278632,5,p20
2,pre,119,0.0537380624512185,2.8932266360230203,2.924666217078959,0.03143958105593869,5,p20
2,post,121,0.006134479445265066,0.8952673872005488,1.6486764145278934,0.7534090273273446,5,p20
3,pre,119,0.023621280642229098,2.116848631152271,1.1328981914310874,-0.9839504397211836,5,p20
3,post,121,0.023676678729319098,1.2087657774397091,1.3096808011469054,0.1009150237071963,5,p20
4,pre,119,0.04101294326898362,3.000679063162543,3.5178276228104597,0.5171485596479166,5,p20
4,post,121,0.009339848536468201,1.661798129329219,2.029713872755228,0.3679157434260092,5,p20
5,pre,119,0.08488210731757312,2.128961173775656,1.5593041652872133,-0.5696570084884427,5,p20
5,post,121,0.03793639250194708,0.6715494007176246,1.0622357269609641,0.39068632624333954,5,p20
6,pre,119,0.06158791858464313,2.7395209325033614,2.804384563299724,0.06486363079636259,5,p20
6,post,121,0.035131092796225574,0.7025697986997527,1.7696975802597632,1.0671277815600106,5,p20
7,pre,119,0.02944122253511991,0.623365655758734,1.1457590383901792,0.5223933826314452,5,p20
7,post,121,0.03918208698686837,1.2670400145949907,1.3861674304065992,0.11912741581160846,5,p20
8,pre,119,0.0362696966552129,2.789366561234409,1.8750516947308302,-0.9143148665035787,5,p20
8,post,121,0.03097883092298437,1.6610642861755374,0.9156201783464,-0.7454441078291374,5,p20
9,pre,119,0.047082042455569094,5.259144859774906,3.2321789360698503,-2.026965923705056,5,p20
9,post,121,0.06310018581255027,1.5226274416249574,1.840456578832796,0.31782913720783856,5,p20
