metric,n_seeds,median_effect,ci95_low,ci95_high,wilcoxon_p,n_positive,n_negative,n_zero
phi_r_g,30,0.1856254251986157,0.012770829555393326,0.35965100889260315,0.01453801617026329,21,9,0
group_decoupling_g,30,-0.16736508629867453,-0.4000200214323273,0.014342461837629772,0.052263347432017326,10,20,0
group_downward_g,30,0.2721734960346076,-0.03596970651363762,0.6479106106783374,0.018529480323195457,19,11,0
group_part_driven_g,30,-0.003325041207706797,-0.014351449122951138,0.01480059238791958,0.7303419969975948,14,16,0
