condition,seed,phi_r_g,group_decoupling_g,group_downward_g,group_part_driven_g
coupled,1,1.9833508553271293,-0.8680473956720669,2.6433678823635867,0.09609628347094035
coupled,2,1.7518004247286267,-0.715858273758472,2.271379278258571,0.0711371598346201
coupled,3,1.9894133084239367,1.227690397579155,0.5595382245209506,0.043258758987460344
coupled,4,2.1267112527571257,-0.6239115948423768,2.644850563116125,0.09778853005499055
coupled,5,2.112877320268905,0.09281484760695413,2.0801494364843287,0.11796023650607745
coupled,6,1.8816066315500233,-0.4758249118927469,2.0903787384964208,0.08810459595546105
coupled,7,2.4056774222645694,-0.14637188589907613,2.594212922753337,0.03776935668566732
coupled,8,2.2062990589211706,0.41881506303103033,1.62614308722559,0.09532865978122806
coupled,9,2.011643161657029,0.260541314754696,1.5944858544179463,0.11086609255104574
coupled,10,2.130868193776016,0.1896584953378575,1.6976528907716888,0.0452275032675622
coupled,11,1.8870833841847494,-0.6053855051377499,2.436991060474692,0.06933868790793285
coupled,12,1.79989826605236,-0.4906493796657805,2.165263150064167,0.042637967627480455
coupled,13,2.1489619950969834,-0.600961738859028,2.791897603567806,0.06770705774711272
coupled,14,2.3779696127456944,-0.006448235306528494,2.1924203255509345,0.09647816466840509
coupled,15,1.990172786307097,-0.5161222365662503,2.3737364669899734,0.13972495625523074
coupled,16,1.8725723713426121,-1.0103394584532934,2.8080675275954103,0.0664149583417708
coupled,17,1.632508039854289,-0.23033327091595956,1.8732877233887577,0.06738356652291655
coupled,18,1.9471615594286715,-0.39865361792547116,2.0394574426898693,0.10086486212966084
coupled,19,2.264361440068501,-0.35956606260292157,2.3362676570963057,0.061969540878614615
coupled,20,2.559729250534969,0.25856804959316504,2.1799357227509226,0.0621344379978106
coupled,21,1.9687984436984798,-0.7379366528961686,2.3396319004122264,0.046931551225947665
coupled,22,1.9275008798145974,0.551698164930376,1.536222088506646,0.06097635436171239
coupled,23,2.4674533933221507,-0.6496544750608586,2.6512926306641864,0.07374427501670056
coupled,24,2.2319249507670507,-0.6499081611591322,2.687333162251487,0.05055076692189675
coupled,25,2.190457309362271,0.007528388670292152,2.3404547789425694,0.10031097747701051
coupled,26,2.539169503993304,-0.8953980450516954,3.499605238827927,0.07821996079844218
coupled,27,2.549742172374412,0.6503780071865364,1.7405119133721365,0.0307328875034637
coupled,28,2.4911112096872006,-0.2088698536575726,2.6498836458740245,0.0433418378110485
coupled,29,1.7624125792927723,-0.1929632289420622,1.6603242439253214,0.06407199252551155
coupled,30,2.091944145284979,-0.439693842691371,2.677627886369616,0.07839748225818399
default,1,2.192711485861695,0.7266603370197608,1.195340715397335,0.051624416336212064
default,2,1.8301564488479145,0.21470118444690645,1.5994702703851944,0.04173920819310112
default,3,1.7824425336933158,0.5722310835773576,1.3557186035207547,0.05872224096330403
default,4,2.191389286845163,-0.601711411234507,2.746585592635416,0.055573129438585944
default,5,2.3153323182265,0.2817667466024796,1.810812421790057,0.06394012680410055
default,6,1.7508332846296812,-1.0524548217872998,2.8118640841760802,0.08119516657566439
default,7,1.7501989804098501,0.3433561112525485,1.3565917607470594,0.06843932886451831
default,8,2.198501168100054,0.5645933366328539,1.6636210459850385,0.042502123192298624
default,9,3.3374410699955894,0.997268860056765,2.3218345084973837,0.06450860063858371
default,10,1.7436753399968783,-0.2475870686203716,1.8455082075807558,0.07452912939112866
default,11,1.965319347927886,0.24250429189229417,1.619783611172209,0.09154621723891487
default,12,1.5833115146332721,-0.6251369580044257,2.1153208689332503,0.06838285763760388
default,13,1.9304560949721328,-0.18403625823205916,2.1528805196937935,0.06127061386198096
default,14,1.8918800815592531,-0.05733334258965783,1.8443559674336925,0.03143729601335099
default,15,1.8258927106404865,-0.27055559541940544,2.09872648961503,0.06485671021008388
default,16,1.854828603052942,0.13882440088620296,1.7404123187369045,0.08308407923126093
default,17,1.781020608217003,0.4916747424270431,1.2164835859060954,0.04483465339887033
default,18,2.007773750570208,-0.32539762817347073,2.0886884744444236,0.07474501861308025
default,19,1.8368350669964526,-0.510555829461051,2.270508213171716,0.16109901300025853
default,20,2.0152415312317915,-0.43661692841516,2.356252987505152,0.05626084598525605
default,21,1.631518068850198,-0.3548220906584829,1.884059764542676,0.05615070168780473
default,22,2.715037773932507,0.7665505519112705,1.9815864069445326,0.0639551531599925
default,23,2.085431750385226,-0.7565119143168149,2.590658544123686,0.0797924373729948
default,24,1.8038336818436327,-0.14513617444088722,1.9641886934698634,0.086690587653385
default,25,1.9435210015463145,-0.671835431092092,2.551191217698969,0.1135503937470691
default,26,1.8769678339610976,-0.7930146950588361,2.5089655529368655,0.08189124441557566
default,27,1.5115110809608092,0.5062768278599081,0.693055158145832,0.02731288600710924
default,28,1.5491764416043845,0.44982602628932056,1.0327122936785496,0.08944518445680327
default,29,1.7144751767051307,-0.10107101393840878,1.6947856981931482,0.08226418521007972
default,30,1.9648486537836596,-0.15140057052325862,2.05239534064639,0.09008400246183007
