seed,metric,default,coupled,effect_coupled_minus_default
1,phi_r_g,2.2243707188570854,1.9096866851141407,-0.3146840337429446
2,phi_r_g,1.720709341613022,1.8723818193631168,0.15167247775009485
3,phi_r_g,1.6510810730497734,2.034319847552939,0.38323877450316557
4,phi_r_g,1.95775464486713,2.0694202127016714,0.11166556783454151
5,phi_r_g,2.2714877910710967,2.158141694192951,-0.11334609687814545
6,phi_r_g,1.7659483432756868,1.9858793935964487,0.21993105032076188
7,phi_r_g,1.8511468495344507,2.40167319383128,0.5505263442968293
8,phi_r_g,2.158670081516901,2.026787226348145,-0.1318828551687563
9,phi_r_g,3.337441069995589,1.8298695879543136,-1.5075714820412753
10,phi_r_g,2.062123486090578,2.153214758778585,0.09109127268800687
11,phi_r_g,2.0740153136863846,1.980279113811712,-0.09373619987467263
12,phi_r_g,1.710629062053592,1.8040724916395623,0.0934434295859703
13,phi_r_g,2.1004573948627008,2.027199893008353,-0.07325750185434776
14,phi_r_g,2.079400860165612,2.4329334763942647,0.3535326162286525
15,phi_r_g,1.8727136228088013,2.092533203195382,0.21981958038658056
16,phi_r_g,1.972820044538268,1.9598428793338267,-0.012977165204441254
17,phi_r_g,1.8030387376993116,1.7923104915227932,-0.010728246176518352
18,phi_r_g,1.8592378400783256,1.9802477012056423,0.12100986112731671
19,phi_r_g,1.914450246718702,2.318774573636091,0.40432432691738907
20,phi_r_g,1.9401759590422196,2.306433863865089,0.36625790482286935
21,phi_r_g,1.702112091776916,1.8013918208378836,0.09927972906096771
22,phi_r_g,2.4082512378976184,2.3387225250523134,-0.06952871284530504
23,phi_r_g,2.127492606139233,2.5589212390807825,0.4314286329415493
24,phi_r_g,1.8172819887948228,2.167648938906197,0.3503669501113742
25,phi_r_g,1.999545466359239,2.177797166061852,0.1782516997026129
26,phi_r_g,1.9846755409289265,2.207064544735627,0.22238900380670068
27,phi_r_g,1.6745056727359695,2.47171259487552,0.7972069221395506
28,phi_r_g,1.6994492439369453,2.20186861280596,0.5024193688690146
29,phi_r_g,1.7033193286024255,1.672540061136181,-0.030779267466244598
30,phi_r_g,1.8604732119596263,2.1900797280691213,0.329606516109495
1,group_decoupling_g,0.7218041861475739,-0.99265716758832,-1.714461353735894
2,group_decoupling_g,0.8405768804945319,-0.8710645044583123,-1.7116413849528442
3,group_decoupling_g,-0.1585150498810617,1.198004765046993,1.3565198149280546
4,group_decoupling_g,-0.5363882156608633,-0.7039817306408578,-0.16759351497999453
5,group_decoupling_g,0.3637457797248178,0.2883327886681781,-0.07541299105663973
6,group_decoupling_g,-1.0888624562087306,-0.5750473220936494,0.5138151341150812
7,group_decoupling_g,0.3071699667704586,-0.3739401584836122,-0.6811101252540708
8,group_decoupling_g,0.4016887962837621,0.3809995266763331,-0.020689269607429006
9,group_decoupling_g,0.997268860056765,-0.8169685325995932,-1.8142373926563582
10,group_decoupling_g,-0.3666889768758663,-0.3845201794701056,-0.01783120259423926
11,group_decoupling_g,-0.0261901729622671,-0.8005072634684867,-0.7743170905062196
12,group_decoupling_g,-0.6600503254139418,-0.9888859897400856,-0.32883566432614375
13,group_decoupling_g,0.2460848339489454,-0.8435804438473746,-1.08966527779632
14,group_decoupling_g,0.3351568477157081,0.0961428300693734,-0.23901401764633468
15,group_decoupling_g,-0.0418076003340637,-0.5186117343759526,-0.4768041340418889
16,group_decoupling_g,0.0516060022651794,-0.8305564096467455,-0.8821624119119249
17,group_decoupling_g,0.6053400045746471,0.119882830193122,-0.4854571743815251
18,group_decoupling_g,-0.3663849349853569,-0.764184087835053,-0.3977991528496961
19,group_decoupling_g,-0.4741157425345284,0.3521165618273758,0.8262323043619042
20,group_decoupling_g,-0.4737134361597657,-0.0114036916844213,0.4623097444753444
21,group_decoupling_g,0.1632434623576695,-0.8258533249964364,-0.9890967873541059
22,group_decoupling_g,0.777005081523754,0.1065295263039991,-0.6704755552197549
23,group_decoupling_g,-0.4339899959380222,-0.9488351109711228,-0.5148451150331006
24,group_decoupling_g,-0.1517887855137036,-0.3672768170550582,-0.21548803154135462
25,group_decoupling_g,-0.4437980277558562,0.3424612742551356,0.7862593020109918
26,group_decoupling_g,-0.6939589160479689,-0.7118127223915134,-0.017853806343544498
27,group_decoupling_g,0.8628754217721033,0.7708262886881332,-0.09204913308397011
28,group_decoupling_g,0.3352767609239944,-0.8804849593154547,-1.215761720239449
