metric,n_seeds,median_effect,ci95_low,ci95_high,wilcoxon_p,n_positive,n_negative,n_zero
whole_to_single_sum,30,0.4752139569088594,0.24500888208818705,0.6242613135169203,0.0011314544826745987,23,7,0
whole_to_parts,30,0.010895075758149853,-0.034796687981518484,0.06632169242032267,0.4898460879921913,16,14,0
downward_reconstructed,30,0.3987050574701446,0.3051737895606157,0.5600760982861703,0.0005548261106014252,23,7,0
