metric,n_seeds,median_effect,ci95_low,ci95_high,wilcoxon_p,n_positive,n_negative,n_zero
phi_r_g,30,0.13634116943870578,0.04018151325574426,0.27599775995809783,0.004031794145703316,20,10,0
group_decoupling_g,30,-0.2839248409862392,-0.5926603351264277,-0.10696539433493871,0.0050126127898693085,5,25,0
group_downward_g,30,0.3987050574701445,0.3051737895606157,0.5639082364918229,0.0005548261106014252,23,7,0
group_part_driven_g,30,-0.0015769086013479004,-0.024182619835198003,0.012341856723080198,0.583757072687149,14,16,0
phi_r_z,30,0.0113017909310123,-0.012957538960689501,0.03100086903170325,0.5027610473334789,18,12,0
