seed,episode,phi_r_g_ar1_episode_median
24,6,1.6582744321843141
24,7,1.6752615404721025
24,8,1.707581374115604
24,9,1.9467518285767489
25,0,1.4701171101752448
25,1,1.6987522696445376
25,2,1.7697647139867554
25,3,1.9514509215476643
25,4,1.8398314766663557
25,5,1.775837827046733
25,6,1.5840424660353136
25,7,1.8306881536707198
25,8,1.6754289740651327
25,9,1.77606147383122
26,0,1.5419801928266614
26,1,1.4605369152599326
26,2,1.7096319386501286
26,3,1.6224855441170827
26,4,1.4558905498119172
26,5,1.600464750364623
26,6,1.6136018797703833
26,7,1.6758473390618627
26,8,1.5857162145893238
26,9,1.7386526703631646
27,0,0.9811253855165819
27,1,1.2245780507430677
27,2,1.4483813868008786
27,3,1.1821180287410977
27,4,1.0563470084090758
27,5,1.0484393276509787
27,6,1.0220265781433784
27,7,1.2059196804432337
27,8,1.1655412446466098
27,9,1.1922626348499779
28,0,1.4452618074153718
28,1,1.5963545901074445
28,2,1.5884676381096487
28,3,1.5705212084320035
28,4,1.4966469684213992
28,5,1.6742522360884742
28,6,1.6701117403253956
28,7,1.787200202179502
28,8,1.6063605350997736
28,9,1.4589635067430997
29,0,1.6665763357469605
29,1,1.445706162106474
29,2,1.7573128529418711
29,3,1.7490063830931337
29,4,1.5027943855827712
29,5,1.4870295362418504
29,6,1.6336491227254124
29,7,1.7357740817804839
29,8,1.4452016945569377
29,9,1.4949309989595072
30,0,1.7192076076630136
30,1,1.6849420079578126
30,2,1.704780445396394
30,3,1.3388116167130295
30,4,1.592239837975835
30,5,1.6491893720485158
30,6,1.8087811456035578
30,7,1.6373147992714645
30,8,1.5793589717033591
30,9,1.6615454372499197
