contrast,effect_definition,n_seeds,median_A,median_B,median_effect,ci95_low,ci95_high,wilcoxon_p,n_positive,n_negative,n_zero
48k_default_phi_g_minus_phi_z,phi_r_g - phi_r_z,30,1.9273131028804606,0.056829350599061815,1.8581020261965322,1.7609819224831753,1.948161773427549,1.862645149230957e-09,30,0,0
48k_default_intact_minus_temporal_shuffle,intact_g - shuffled_g,30,1.9273131028804606,0.004780080642366949,1.9232374796505867,1.8298498144362505,2.0249188830614866,1.862645149230957e-09,30,0,0
48k_default_intact_minus_ar1,intact_g - independent_AR1_g,30,1.9273131028804606,1.6599725419889113,0.2628804595334747,0.17856359892711093,0.39534994182722105,1.30385160446167e-08,28,2,0
