seed,episode,rep,phi_r_g_ar1
3,2,4,2.042597048726651
3,3,0,1.147980247617642
3,3,1,1.495100134008442
3,3,2,1.9185345357850543
3,3,3,1.7739867751312781
3,3,4,1.659080149962771
3,4,0,1.7545797296256636
3,4,1,2.0118064025292477
3,4,2,1.6418533946164955
3,4,3,1.4794293766744446
3,4,4,1.5841473713660439
3,5,0,1.69844262045839
3,5,1,1.8574583419244424
3,5,2,1.7348502022174659
3,5,3,1.8531264832731615
3,5,4,1.7510533383799944
3,6,0,1.6537073907538204
3,6,1,1.3771644069164015
3,6,2,1.852052524246661
3,6,3,1.6552181958271999
3,6,4,1.8274097385047197
3,7,0,1.629546284675191
3,7,1,1.5487132543202633
3,7,2,1.9920391890000466
3,7,3,2.1395269729730897
3,7,4,1.4093431283863607
3,8,0,1.8063143422492534
3,8,1,1.8763370148447278
3,8,2,1.7978639094163325
3,8,3,1.4352995520114342
3,8,4,1.4643631211590118
3,9,0,1.2993804903216477
3,9,1,1.6700752086944384
3,9,2,1.7341820924335316
3,9,3,1.7673553834022904
3,9,4,1.6298619464323052
4,0,0,1.7744415229195427
4,0,1,1.6250098888461255
4,0,2,1.6543634550245638
4,0,3,1.3097444973261283
4,0,4,1.760419717777737
4,1,0,1.5935866011724915
4,1,1,1.425348548976163
4,1,2,1.7836528450735996
4,1,3,1.7943755025115427
4,1,4,1.4916042954441053
4,2,0,1.8148522591092355
4,2,1,1.6397265004555988
4,2,2,1.5469462943291281
4,2,3,1.4511835384104284
4,2,4,2.0220665897636465
4,3,0,1.9192183298231438
4,3,1,1.7903650808993596
4,3,2,2.043163130644709
4,3,3,1.7503963275760193
4,3,4,1.6204365931195932
4,4,0,1.7489052578100117
4,4,1,1.8956339561339093
4,4,2,1.957413410654951
4,4,3,1.5289680765344928
4,4,4,1.6767317348817818
4,5,0,1.7898299063074918
4,5,1,1.748557641666222
4,5,2,1.4365782947545425
4,5,3,1.599283513038623
4,5,4,1.8284958205296094
4,6,0,1.5758237972488223
4,6,1,1.6772931060418061
4,6,2,2.2037063686981124
4,6,3,1.5348988431255117
4,6,4,1.8527690348669208
4,7,0,1.7245860420679895
4,7,1,1.6295699017110798
4,7,2,1.8635832949111797
4,7,3,2.267444454253312
4,7,4,1.408874793913561
4,8,0,1.5859797454755689
4,8,1,1.9737364015400702
4,8,2,1.9117777717959419
4,8,3,1.725882236780359
4,8,4,1.8429114886490616
4,9,0,1.7709147027293473
4,9,1,1.9820888697570562
4,9,2,1.7962178060867835
4,9,3,1.931591005368129
4,9,4,1.8226233769565816
5,0,0,1.6704929366529018
5,0,1,1.4673995624506873
5,0,2,1.4304192203979866
5,0,3,1.7647719622821254
5,0,4,1.4902284473346719
5,1,0,1.8185423593263643
5,1,1,2.03169534185227
5,1,2,1.5174105753897633
5,1,3,1.962146409220178
5,1,4,1.923134095853009
5,2,0,1.3623628145195883
5,2,1,1.7773533320089179
5,2,2,1.4616722718799688
5,2,3,1.7121281369577583
5,2,4,1.790277307357925
5,3,0,1.98384371261682
5,3,1,1.3599166737778403
5,3,2,1.5261326736338703
5,3,3,2.012136401120181
5,3,4,1.784876334223965
5,4,0,1.7975865608746302
5,4,1,1.902602659741512
5,4,2,1.5299728060285966
5,4,3,1.8139226035910743
5,4,4,1.510987937162069
5,5,0,1.8890355859847356
5,5,1,1.7407268441559398
5,5,2,1.3063462700583552
5,5,3,1.1770437471641366
5,5,4,1.76758818143002
5,6,0,1.4563820872180657
5,6,1,1.3987328058516812
5,6,2,1.5758292771683973
5,6,3,2.0125354872398957
5,6,4,1.8547804013581324
5,7,0,1.71067898960324
5,7,1,1.7594140905499305
5,7,2,2.0172782769544377
5,7,3,1.6387586029320127
5,7,4,1.9235030906337056
5,8,0,1.3633863153920491
5,8,1,1.988146650465739
5,8,2,1.9094459763273604
5,8,3,1.5581841159490226
5,8,4,1.4168435752774946
5,9,0,2.070958079342148
5,9,1,1.8583122682919828
5,9,2,1.9875856698970453
5,9,3,1.6557841290508997
5,9,4,1.5419221014276117
6,0,0,1.8340456211984386
6,0,1,1.692651474993831
6,0,2,1.6701283156891
6,0,3,1.7130148741306865
6,0,4,1.6530102515325091
6,1,0,1.6506930713472794
6,1,1,1.6848721708632934
6,1,2,1.4321100815718353
6,1,3,1.6257420988563298
6,1,4,1.3269116336795848
6,2,0,1.5944140196996217
6,2,1,1.6745482683950805
6,2,2,1.846671985454511
6,2,3,2.001594261570318
6,2,4,1.5758460977012145
6,3,0,1.3546935116407863
6,3,1,1.3827002762829337
6,3,2,1.5547527373130063
6,3,3,1.2779146307822113
6,3,4,1.6206415199146869
6,4,0,2.2138449814631604
6,4,1,1.8519269582923916
6,4,2,2.0718940465617317
6,4,3,1.441838974250118
6,4,4,1.4055511815084238
6,5,0,1.857262186820603
6,5,1,1.781436848902217
6,5,2,1.6154999854052186
6,5,3,1.493571833423288
6,5,4,1.236021996161147
6,6,0,1.8080814169328874
6,6,1,1.6829834247001076
6,6,2,1.868822364939089
6,6,3,1.851392542080745
6,6,4,1.4581069592024356
6,7,0,1.5215424520792173
6,7,1,1.4513161357712026
6,7,2,1.743131349342585
6,7,3,1.4512078731315228
6,7,4,1.6341395842254762
6,8,0,1.6361044939088734
6,8,1,1.6019498057291264
6,8,2,1.8710604907465243
6,8,3,1.727808540972275
6,8,4,1.5090868938589503
6,9,0,1.6598202008109397
6,9,1,2.1229204963000536
6,9,2,1.5301466223687181
6,9,3,1.990923218261948
6,9,4,1.8641706506625293
7,0,0,1.9509749524594353
7,0,1,1.5542943944010625
7,0,2,1.514122183887358
7,0,3,1.6904308032832152
7,0,4,2.150399435825519
7,1,0,1.5411079973843782
7,1,1,1.232833148678151
7,1,2,1.7086692018068974
7,1,3,1.3643087988650437
7,1,4,1.6768046749802545
7,2,0,1.4210171397438087
7,2,1,1.831679965879312
7,2,2,1.8112711131564718
7,2,3,1.665757331201037
7,2,4,1.6502999311155333
7,3,0,1.588894806238808
7,3,1,1.8527412857223964
7,3,2,1.8238856053393695
7,3,3,1.4128917425962162
7,3,4,1.8355895899342625
7,4,0,1.7939837561730094
7,4,1,1.6849057171141575
7,4,2,1.0153822539666137
7,4,3,1.705215612071706
7,4,4,1.4537451883646217
7,5,0,1.6440334391336773
7,5,1,1.7550578456904282
7,5,2,1.8236908201060182
7,5,3,1.5140284173166676
7,5,4,2.0645410853415997
7,6,0,2.0739485961330892
7,6,1,1.7212145997273116
7,6,2,2.121978017794157
7,6,3,1.9234933522756155
7,6,4,1.496666267464895
7,7,0,1.6628035884015806
7,7,1,1.6701089302628453
7,7,2,1.8871534254825357
7,7,3,1.6475498084578812
7,7,4,1.914650118086638
7,8,0,1.662658681895338
7,8,1,1.415039979476357
7,8,2,1.7724696796410226
7,8,3,1.6268503610584495
7,8,4,1.8560957161330052
7,9,0,1.5169887559612527
7,9,1,1.7894060675257186
7,9,2,1.737382637968976
7,9,3,1.82192183866223
7,9,4,1.9187456949366886
8,0,0,2.130137191021177
8,0,1,2.0185384780738787
8,0,2,1.8768494823642952
8,0,3,1.899793540282607
8,0,4,1.7524805681493427
8,1,0,1.7605618627803836
8,1,1,1.8320930100642046
8,1,2,1.72710302642344
8,1,3,2.1052474307474567
8,1,4,1.8212168575868695
8,2,0,1.6277354120774676
8,2,1,2.0853593722387105
8,2,2,1.7655588778087892
8,2,3,1.4334168973550618
8,2,4,1.4333085509051775
8,3,0,1.9657439601457618
8,3,1,1.3693249446490525
8,3,2,2.09049498887549
8,3,3,1.681680661562842
8,3,4,1.8626799353729782
8,4,0,1.6897750997709657
8,4,1,1.9257638196058093
8,4,2,1.619470620671716
8,4,3,1.1599361587761408
8,4,4,1.5996078399424436
8,5,0,1.7572342531478649
8,5,1,1.8361556288571832
8,5,2,1.5984081644836252
8,5,3,1.8104885476996466
8,5,4,1.647309592189043
8,6,0,1.9849274885054644
8,6,1,1.4915091914289669
8,6,2,1.955418289582772
8,6,3,1.904683446463896
8,6,4,2.1426473469064824
8,7,0,1.6850763306278056
8,7,1,2.0982569887163236
8,7,2,1.834241462544995
8,7,3,1.7693228019432128
8,7,4,1.5483558166648657
8,8,0,1.5850344164069639
8,8,1,1.8047686796030111
8,8,2,1.6694114591839697
8,8,3,1.4620121338517875
8,8,4,1.6751212191392564
8,9,0,1.7567020621054874
8,9,1,1.8511991224792186
8,9,2,2.049752984258661
8,9,3,1.5546330505029415
8,9,4,1.755967100684964
9,0,0,2.026573377406926
9,0,1,1.636932500160634
9,0,2,1.4783215042604465
9,0,3,1.7477094360297147
9,0,4,1.6013704715523929
9,1,0,1.6199269269157468
9,1,1,1.7741364308134895
9,1,2,1.9125895128330548
9,1,3,1.9359362179328334
9,1,4,2.2893163417190983
9,2,0,1.4329938317901023
9,2,1,1.9504792729696725
9,2,2,2.0569886346606667
9,2,3,1.7686040727782069
9,2,4,1.595040012959713
9,3,0,1.770553767462867
9,3,1,1.7427848512054562
9,3,2,2.010212423395833
9,3,3,2.0296359356496665
9,3,4,1.931899252279164
9,4,0,2.0515545819593575
9,4,1,1.4902890157584499
9,4,2,1.8435254998593769
9,4,3,1.5191570002759336
9,4,4,1.7856126591493497
9,5,0,2.04602270899071
9,5,1,1.652368638613988
9,5,2,1.9954044528984904
9,5,3,1.4844420760248396
9,5,4,1.4761629504104175
9,6,0,2.1662006112093226
9,6,1,1.5581570135733664
9,6,2,1.9370950341951352
9,6,3,1.6561575332094476
9,6,4,1.6580131031302816
9,7,0,1.830862769619721
9,7,1,2.1860747386682577
9,7,2,1.5862879945137098
9,7,3,2.057296167928618
9,7,4,1.6637400368176585
9,8,0,1.8284546463349827
9,8,1,1.5248654406508195
9,8,2,1.6197512017985454
9,8,3,1.5815753349239954
9,8,4,1.431945477104572
9,9,0,1.5230327542788795
9,9,1,1.9610614249290808
9,9,2,1.7355994502099392
9,9,3,1.9579820474985925
9,9,4,1.9139492053384928
10,0,0,2.014709140577996
10,0,1,1.2617012364840279
10,0,2,1.5563278442301396
10,0,3,1.350394331008818
10,0,4,1.3197292914306924
10,1,0,1.6631062988739793
10,1,1,1.9016527938202379
10,1,2,1.518303241482615
10,1,3,1.394649891138052
10,1,4,1.5899342386910935
10,2,0,1.625201340724543
10,2,1,1.755806273861526
10,2,2,1.7055401769362206
10,2,3,1.592212716495998
10,2,4,1.8115036392190271
10,3,0,1.5913059620496313
10,3,1,1.4935879956608347
10,3,2,1.440375369198506
10,3,3,1.6703265377168697
10,3,4,1.621452653925034
10,4,0,1.8510554082477135
10,4,1,1.5411676202892048
10,4,2,1.4258500929243012
10,4,3,2.118723351242245
10,4,4,2.2142518028221865
10,5,0,1.8409750232155693
10,5,1,1.3431773477170164
10,5,2,1.2729076010455385
10,5,3,1.454191557856551
10,5,4,1.6353535981310388
10,6,0,1.709895925327957
10,6,1,1.4507046389916494
10,6,2,1.925366835715006
10,6,3,1.519198063236791
10,6,4,1.4104001531385466
10,7,0,1.6353197237796577
10,7,1,1.736224773254614
10,7,2,1.1290776215538123
10,7,3,1.7850120091252322
10,7,4,1.803944931671023
10,8,0,1.4812464400131664
10,8,1,1.730305253915231
10,8,2,1.3479182337206321
10,8,3,1.5273229554476657
10,8,4,1.8675012294409874
10,9,0,1.5420555595639125
10,9,1,1.3982339701873916
10,9,2,1.8773586622696088
10,9,3,1.4418451814067008
10,9,4,1.8902265016341078
11,0,0,1.5648965336606837
11,0,1,1.5453111619827862
11,0,2,1.7599901778602032
11,0,3,1.2814574882943246
11,0,4,1.328734809828457
11,1,0,1.5690952751029903
11,1,1,1.826481288234359
11,1,2,1.4400941124362427
11,1,3,1.5149373531298371
11,1,4,1.7779336500138645
11,2,0,1.8139001180496577
11,2,1,1.4723963448224668
11,2,2,1.6904506612538044
11,2,3,1.482217247320413
11,2,4,1.8968921371566578
11,3,0,1.8357189306875537
11,3,1,1.7563221769055803
11,3,2,1.608749672700565
11,3,3,1.5162604362447687
11,3,4,1.5595209284859919
11,4,0,1.4901242476852121
11,4,1,1.4638581961897568
11,4,2,1.6036282037862202
11,4,3,1.5491349991676726
11,4,4,1.7331732918408835
11,5,0,1.896571414090365
11,5,1,1.9109211105219055
11,5,2,1.4836741819148869
11,5,3,1.5216434145060143
11,5,4,1.407702708791831
11,6,0,1.5625297470379909
11,6,1,1.639820156546542
11,6,2,2.122177964984921
11,6,3,1.931522611261782
11,6,4,1.755301923255058
11,7,0,1.8495440368292653
11,7,1,1.584709685876423
11,7,2,1.5776962829918473
11,7,3,1.6251455688550709
11,7,4,1.6014050260674653
11,8,0,1.7526405396947662
11,8,1,1.6780835572592498
11,8,2,1.4766794908378564
11,8,3,1.5382794104004214
11,8,4,1.8216180873597891
11,9,0,1.7537276287105006
11,9,1,1.4676554354558273
11,9,2,2.1176381889870113
11,9,3,1.503292279655478
11,9,4,1.6712628375043979
12,0,0,1.5364828410516826
12,0,1,1.6800203074366442
12,0,2,2.259082002657501
12,0,3,1.7971623693630043
12,0,4,1.6680597453035784
12,1,0,1.8512968837756474
12,1,1,1.7740200366299024
12,1,2,1.1000993383225626
12,1,3,1.5398497221518892
12,1,4,1.6124630410063228
12,2,0,1.7225032774230598
12,2,1,1.6764637147167363
12,2,2,1.7786448466624314
12,2,3,1.5572845270329687
12,2,4,1.7888193437373499
12,3,0,1.5010109420704962
12,3,1,2.0478592285416113
12,3,2,1.5709381716800905
12,3,3,1.7415749199556874
12,3,4,1.7794589216482921
12,4,0,1.7005521560283243
12,4,1,1.733303718384916
12,4,2,1.8130739913442935
12,4,3,1.9519706180419125
12,4,4,1.8447338926312118
12,5,0,1.67701554529126
12,5,1,1.707709593399258
12,5,2,1.8283382267761952
12,5,3,1.771855360174722
12,5,4,2.0156164011819815
12,6,0,1.634171431129774
12,6,1,2.0175702955757258
12,6,2,1.3030347420963255
12,6,3,2.0032233738416236
12,6,4,2.0805566039741503
12,7,0,1.505938207958118
12,7,1,1.8571390460634898
12,7,2,1.797972027925125
12,7,3,1.8690290042424533
12,7,4,1.4281393092443826
12,8,0,1.7556015219288226
12,8,1,2.0557298163994746
12,8,2,1.7341016666071587
12,8,3,1.713515279170136
12,8,4,1.480642616001673
12,9,0,1.3508148796524484
12,9,1,1.4113293382799579
12,9,2,1.5165872988872036
12,9,3,1.5209004544965776
12,9,4,2.024907253150447
13,0,0,1.8588464414518064
13,0,1,1.5860823524217749
13,0,2,1.7043830541953646
13,0,3,1.6006596647843654
13,0,4,1.7752202306028269
13,1,0,1.5404441219798781
13,1,1,1.861784298022107
13,1,2,1.7173024496408438
13,1,3,1.6542847307896744
13,1,4,1.3414684634125493
13,2,0,1.8037910739803789
13,2,1,1.6716153501979256
13,2,2,1.8294616217738402
13,2,3,1.6839134724990443
13,2,4,1.3783849364481968
13,3,0,1.8281576598613767
13,3,1,1.6780285049162869
13,3,2,1.370168060162627
13,3,3,1.3637584111780385
13,3,4,1.293823985840061
13,4,0,1.5425555732364673
13,4,1,1.0833093978217927
13,4,2,1.5678851639962004
13,4,3,1.1224612134275271
13,4,4,1.7102379350800725
13,5,0,1.329857054424822
13,5,1,1.59399753067309
13,5,2,1.3086329224059916
13,5,3,1.553715725554202
13,5,4,1.6969238122404535
13,6,0,1.9011037218538276
13,6,1,1.479633894881067
13,6,2,1.7860581028097948
13,6,3,1.5757297875862437
13,6,4,1.8649616403087388
13,7,0,1.6396083885966366
13,7,1,1.7379461025071035
13,7,2,1.7386162125459697
13,7,3,1.712794497699067
13,7,4,1.6774454492137876
13,8,0,1.976088145523472
13,8,1,1.423575810512846
13,8,2,1.5520429557055513
13,8,3,1.4273168872615525
13,8,4,1.6710495858915562
13,9,0,2.1169159985194095
13,9,1,1.6044346126757068
13,9,2,1.6747130231779397
13,9,3,1.6373144550079752
13,9,4,1.627877820875733
14,0,0,1.4724153023481092
14,0,1,1.118686193292823
14,0,2,1.5897392294141068
14,0,3,1.0955154889351886
14,0,4,1.5291368668378207
14,1,0,1.755431608342262
14,1,1,1.5192733710466433
14,1,2,1.5713876989656068
14,1,3,1.3755920977343996
14,1,4,1.7710728736327863
14,2,0,1.6094912670297177
14,2,1,1.2242189920531743
14,2,2,1.4403029870372335
14,2,3,1.5082749224516672
14,2,4,1.5623007894139764
14,3,0,1.6599714681260276
14,3,1,1.7900929293887142
14,3,2,1.5454926741437758
14,3,3,1.5803475182292939
14,3,4,1.6104559508384702
14,4,0,1.4535558005545575
14,4,1,1.7535069998900044
14,4,2,1.561640161346952
14,4,3,1.3424318595370484
14,4,4,1.4626829349654296
14,5,0,1.648595501828567
14,5,1,1.4713127807867648
14,5,2,1.5563715090563015
14,5,3,1.4834244277160131
14,5,4,1.5720384604124107
14,6,0,1.782474265328914
14,6,1,1.2436563365084305
14,6,2,2.0469887993775733
14,6,3,1.6745617375992556
14,6,4,1.9729600895682085
14,7,0,1.6352059797407446
14,7,1,1.3236852564617583
14,7,2,1.3768958473492412
14,7,3,1.5336921935765342
14,7,4,1.3853006746176462
14,8,0,1.7317254575079464
14,8,1,1.5146546176918487
14,8,2,1.5518079228462869
14,8,3,1.5770323940245645
14,8,4,1.5172841823439716
14,9,0,1.7334697946845201
14,9,1,1.5052434947679503
14,9,2,1.7512199226788763
14,9,3,1.989431939265504
14,9,4,1.4266083436729884
15,0,0,1.5746910885748246
15,0,1,1.8120915332114675
15,0,2,1.5613697110379445
15,0,3,1.528491250306687
15,0,4,1.813924093560638
15,1,0,1.7372247648096777
15,1,1,1.7410818683392577
15,1,2,2.0504965135262543
15,1,3,1.6518718753491226
15,1,4,1.913658840539515
15,2,0,1.87572756928155
15,2,1,1.8519957841161936
15,2,2,1.790916657167725
15,2,3,1.5581872588138497
15,2,4,1.7821078330529958
15,3,0,1.717681823833737
15,3,1,1.8620816066422021
15,3,2,1.3643112923803327
15,3,3,2.1254807225207974
15,3,4,1.4629006216826004
15,4,0,1.5616530578397736
15,4,1,1.3042837367879925
15,4,2,1.6957047603327633
15,4,3,1.3177460179014822
15,4,4,1.8151456003681814
15,5,0,1.7876085450373846
15,5,1,1.6856032685411615
15,5,2,1.9052582604608228
15,5,3,1.8586221220044281
15,5,4,1.5789513497954015
15,6,0,1.439837656878503
15,6,1,1.5158539066872816
15,6,2,1.5331769445986554
15,6,3,1.723634038929627
15,6,4,1.5460877041563923
15,7,0,1.6836746558253473
15,7,1,1.4140824076656546
15,7,2,1.381660453124843
15,7,3,1.6720335104468038
15,7,4,1.8280704248171582
15,8,0,1.746918110573021
15,8,1,1.4974827889506463
15,8,2,1.5901460907514635
15,8,3,1.2199158064946753
15,8,4,1.6499214356117433
15,9,0,1.686096518133884
15,9,1,1.7702045046333308
15,9,2,1.3622286920214868
15,9,3,1.722649361432643
15,9,4,1.6542417352466336
16,0,0,1.85999179680109
16,0,1,1.3381671019405479
16,0,2,1.5788838177867626
16,0,3,1.4248108852529868
16,0,4,1.6413394729482873
16,1,0,1.3231200015940368
16,1,1,1.8366646662503627
16,1,2,1.8099318738930568
16,1,3,1.5843116840488305
16,1,4,1.2885566895440277
16,2,0,1.3185327999469592
16,2,1,1.663178693908843
16,2,2,1.6429607113660614
16,2,3,1.3559041503363605
16,2,4,1.550278985673614
16,3,0,1.2716945539586542
16,3,1,1.9149465288880934
16,3,2,1.5450660014369917
16,3,3,1.543500810126683
16,3,4,1.4076599860072623
16,4,0,1.5875704488371758
16,4,1,1.4812352850120285
16,4,2,1.5499313960543515
16,4,3,2.1941314990365774
16,4,4,1.576139611923613
16,5,0,1.582601094244525
16,5,1,1.6762339744107053
16,5,2,1.6225558873277315
16,5,3,1.7045795395450931
16,5,4,1.6883422037326572
16,6,0,1.611081522558758
16,6,1,1.3978356771720661
16,6,2,1.8804867870754882
16,6,3,1.8398665305682582
16,6,4,1.4144626309790054
16,7,0,1.5978362695837212
16,7,1,1.5311449295820694
16,7,2,1.7273358084787482
16,7,3,1.8783909858244225
16,7,4,1.7556418748404639
16,8,0,1.5631812737673065
16,8,1,1.4891110709371633
16,8,2,1.6302964663475592
16,8,3,1.5984611301085554
16,8,4,1.5340372908910764
16,9,0,1.2745635297442313
16,9,1,1.355529491661311
16,9,2,1.7911695374895542
16,9,3,1.5768107600982217
16,9,4,1.3591327562832338
17,0,0,1.769654305484349
17,0,1,1.5147045057650936
17,0,2,1.5078033847610608
17,0,3,1.3553679393824425
17,0,4,1.5581264904832328
17,1,0,1.3069284911727048
17,1,1,1.3095043320422506
17,1,2,1.52082113917827
17,1,3,1.547238123923135
17,1,4,1.5811264415613324
17,2,0,1.5580411756233903
17,2,1,1.431913717419119
17,2,2,1.6613291027564987
17,2,3,1.5445921941726009
17,2,4,1.1416229423617401
17,3,0,1.5143326528291707
17,3,1,1.2436798194955578
17,3,2,1.2693205555135534
17,3,3,1.3030805338618268
17,3,4,1.279006526291814
17,4,0,1.5951780839616791
17,4,1,1.5410100796074029
17,4,2,1.7217845225344286
17,4,3,1.5544939874683714
17,4,4,1.877957698652278
17,5,0,1.62893091912045
17,5,1,1.6355958192898217
17,5,2,1.7104436692663003
17,5,3,1.4236827619764771
17,5,4,1.7041876561315266
17,6,0,1.6275385433459402
17,6,1,1.5460469178949936
17,6,2,1.5642538964971393
17,6,3,1.5699291327178497
17,6,4,1.4768456379493542
17,7,0,1.5787209386650223
17,7,1,1.6164345517724121
17,7,2,1.4522762908349423
17,7,3,1.5468770355421033
17,7,4,1.5194389033063473
17,8,0,1.5944156802228782
17,8,1,1.2228649860968623
17,8,2,1.6903050834236484
17,8,3,1.4018888449658207
17,8,4,1.7567683310473279
17,9,0,1.6911030565089242
17,9,1,1.4987909450495815
17,9,2,1.4207339847500353
17,9,3,1.3961830740276566
17,9,4,1.4429385581210372
18,0,0,1.8567063495706382
18,0,1,1.3697027376061597
18,0,2,1.5238845876941354
18,0,3,1.6914612289756863
18,0,4,1.5872836621687145
18,1,0,1.6494372372846844
18,1,1,1.8618931949003497
18,1,2,1.6887477082622002
18,1,3,1.6835388780491676
18,1,4,1.490295074481169
18,2,0,1.6934013618467185
18,2,1,1.5848383015150702
18,2,2,1.5286996326566642
18,2,3,1.6166606597881268
18,2,4,1.5416710157081
18,3,0,1.5087247626460607
18,3,1,1.4187809206793294
18,3,2,1.6200176311340355
18,3,3,1.594593240241137
18,3,4,1.6670040358413625
18,4,0,1.64611609300372
18,4,1,1.977032939618355
18,4,2,1.7451078639070863
18,4,3,1.8237355376624458
18,4,4,1.589152389848379
18,5,0,1.6522372139508381
18,5,1,1.5055850651555618
18,5,2,1.871145233424794
18,5,3,1.8845314407461635
18,5,4,2.0134066474810677
18,6,0,2.2421432536375328
18,6,1,1.7677113957199668
18,6,2,1.5896396729995637
18,6,3,1.5837866490258126
18,6,4,1.8141173156760773
18,7,0,1.5253365930249971
18,7,1,1.7861734099043414
18,7,2,1.7398387623586773
18,7,3,1.5760639351502452
18,7,4,1.8450983910913985
18,8,0,1.8671302929323015
18,8,1,1.9617356896264218
18,8,2,1.6851843578521197
18,8,3,1.9116223624470794
18,8,4,2.0468749595953133
18,9,0,2.0094984031990624
18,9,1,1.8410710613108765
18,9,2,1.632291223398381
18,9,3,1.756093303192373
18,9,4,2.0397830571184197
19,0,0,1.6425415716386589
19,0,1,1.4592619426911477
19,0,2,1.4006950915015448
19,0,3,1.7989960510412297
19,0,4,2.0440355429785715
19,1,0,1.4775972199955403
19,1,1,1.5536731225997662
19,1,2,1.699370736877974
19,1,3,1.675013465687162
19,1,4,2.096000416062076
19,2,0,1.552521729092374
19,2,1,1.8550930156825993
19,2,2,1.9580495202232115
19,2,3,1.6494453293487645
19,2,4,1.5986279790019977
19,3,0,1.6006666539974668
19,3,1,1.4484182424110479
19,3,2,1.9316716156877294
19,3,3,1.6345021790990812
19,3,4,1.5257083641040419
19,4,0,1.56517203718489
19,4,1,1.2126825207292131
19,4,2,1.828361868841489
19,4,3,1.824404606673011
19,4,4,1.7314417609721622
19,5,0,1.7969398503792477
19,5,1,1.8808899459278303
19,5,2,1.7333302703944014
19,5,3,1.4058574940630293
19,5,4,1.5577779927471078
19,6,0,1.577870686276258
19,6,1,2.162402692988484
19,6,2,1.5640216096586501
19,6,3,1.4236557361837587
19,6,4,2.0721966765088418
19,7,0,1.7201651570638812
19,7,1,1.7488677968228052
19,7,2,1.5876990118249075
19,7,3,1.7237462361836493
19,7,4,1.7497537057331347
19,8,0,2.029355869872577
19,8,1,1.498470594873624
19,8,2,1.2686957449613627
19,8,3,1.47964296236548
