condition,checkpoint,seed,phi_r_g,phi_r_z,phi_r_g_shuffled,group_decoupling_g,group_downward_g,group_part_driven_g,atom_base_part0_to_whole_g,atom_parts_to_whole_g,atom_part1_to_whole_g,atom_whole_to_part0_g,atom_whole_to_parts_g,atom_whole_to_part1_g,atom_whole_to_whole_g,atom_part0_to_part1_g,atom_part1_to_part0_g,whole_to_single_sum,whole_to_parts,downward_reconstructed
coupled,48000,1,1.909686685114141,0.10201972170781315,,-0.99265716758832,2.6765973696336203,0.07219637902464299,1.375102290073578,0.3719367459249327,1.1761734315235515,1.1992046125102322,0.1752717735090607,1.487072648730138,-0.99265716758832,-1.6174368744717103,-1.2381242012026843,2.598877681468724,0.1752717735090607,2.67659736963362
coupled,48000,2,1.8723818193631165,0.105101933424357,,-0.8710645044583123,2.4651079998692706,0.06876314808377335,1.3214308252227527,0.3927988936835823,1.198852064993172,1.3421388099779183,0.15796035013239623,1.099084349767739,-0.8710645044583123,-1.3889609212314662,-1.4836679913885031,2.398713681930579,0.15796035013239623,2.4651079998692706
coupled,48000,3,2.03431984755294,0.0795678238196023,,1.198004765046993,0.7928839342781151,0.0634288240043176,-0.10880680954894059,0.7856276755924089,0.0,-0.062179604450875524,0.12453970770066884,0.725609573769462,1.198004765046993,-0.7800787245539965,0.0,0.6881197826792051,0.12453970770066884,0.7928839342781151
coupled,48000,4,2.0694202127016723,0.07874120100580101,,-0.7039817306408578,2.8258087148913162,0.09456838436393385,0.9929906059072479,0.8892586634311246,1.1364219919254475,0.8609470883727979,0.2611734384183786,1.6806779200209125,-0.7039817306408578,-1.7347460390054943,-1.1385842468850274,2.563653864756897,0.2611734384183786,2.825808714891316
coupled,48000,5,2.158141694192951,0.043816883026697,,0.28833278866817813,1.8327860582135878,0.0746621670551279,0.49345492567110205,1.166562776445469,0.2269932866749522,0.1278414667733978,0.1214565073612197,1.2921748630787235,0.28833278866817813,-1.4186686374043238,-0.22034923913444684,1.706625274218498,0.1214565073612197,1.8327860582135878
coupled,48000,6,1.985879393596449,0.04447822133551745,,-0.5750473220936494,2.4968049467420057,0.09058308627615641,0.740436319648155,0.9854985538960367,1.0076988368978914,1.2040515701547552,0.36271830266628613,1.3227780702809055,-0.5750473220936494,-1.3594714719080874,-1.2536641098031587,2.1955096218194203,0.36271830266628613,2.4968049467420057
coupled,48000,7,2.4016731938312796,0.03989506929173805,,-0.3739401584836122,2.989384696339856,0.06578673435015715,1.082156578040082,0.5449607387422823,1.2257048041929743,1.2068376392541798,0.20270037635875499,1.6946088465245819,-0.3739401584836122,-1.7338127995652077,-1.293357804148314,2.636325588426912,0.20270037635875499,2.989384696339856
coupled,48000,8,2.026787226348145,0.06573137674457336,,0.3809995266763331,1.553389011999331,0.0798045936519891,0.36970656756677406,1.2855058120131235,0.011966745172478421,0.0,0.14530257116646494,1.4396321814376432,0.3809995266763331,-1.5774412531298627,-0.006208210944174261,1.3128416054902625,0.14530257116646494,1.553389011999331
coupled,48000,9,1.8298695879543132,0.0130490533979421,,-0.8169685325995932,2.2526776455729727,0.06630943383305116,1.528396347526587,0.38341322313603576,0.9138423502002537,1.0434067426541218,0.19088591874693125,1.1223463144496826,-0.8169685325995932,-1.6930067214427935,-1.045205811664362,2.0968025494056217,0.19088591874693125,2.2526776455729727
coupled,48000,10,2.153214758778585,0.24993378076790707,,-0.38452017947010564,2.3432404221380465,0.05187523181029435,0.9086099437006836,0.8278969533963927,0.9522006500314502,0.8263830452496173,0.22070739570520076,1.4470025739899337,-0.38452017947010564,-1.5657345412711945,-0.9534096261352893,2.1047161077171057,0.22070739570520076,2.3432404221380465
coupled,48000,11,1.9802791138117115,0.06178188167199555,,-0.8005072634684867,2.2386406396046614,0.06763762121306491,0.933534261119077,0.5444370393273326,1.003678358369116,0.9033137869981522,0.24274899899595445,1.2703969549493155,-0.8005072634684867,-1.4058730255920646,-1.0228003838126396,2.1324179788399666,0.24274899899595445,2.2386406396046614
coupled,48000,12,1.804072491639563,0.11048192324603759,,-0.9888859897400857,2.678747112150809,0.046451076391247154,1.3381079926749786,0.32237383883792065,1.2355791247123493,1.2183946009897366,0.20916362518039605,1.2888395023596169,-0.9888859897400857,-1.447495397249608,-1.3761709807236224,2.478161700049089,0.20916362518039605,2.678747112150809
coupled,48000,13,2.0271998930083526,0.035210488869055354,,-0.8435804438473746,2.8227841341385815,0.11367585544732281,1.297013985666804,0.7249277562522973,1.104015945276643,0.9840809103596055,0.2332405608766529,1.560939995434498,-0.8435804438473746,-1.8602933511265962,-1.1257985890408402,2.591673190367902,0.2332405608766529,2.8227841341385815
coupled,48000,14,2.4329334763942647,0.04845477823553635,,0.09614283006937341,2.1357925674188993,0.0614934750838377,0.5513873324351444,0.9103451586093052,0.8408543621670719,0.4332373783762805,0.2434447538611238,1.4261671485070377,0.09614283006937341,-1.5138777997134476,-0.8409867130185342,1.66584557642322,0.2434447538611238,2.1357925674188993
coupled,48000,15,2.092533203195382,0.11444618556902875,,-0.5186117343759526,2.4045143489659493,0.0965668231146362,0.9956447539410471,0.7211301767986129,0.8581316096004619,0.9258996439439227,0.1631192821758382,1.4330660896052831,-0.5186117343759526,-1.5098345390970649,-1.105848391125106,2.225063235441061,0.1631192821758382,2.4045143489659493
coupled,48000,16,1.9598428793338267,0.0336392080159588,,-0.8305564096467455,2.7676134095935097,0.0918060223471576,1.1379737694752077,0.7398392065571168,1.1546032621561704,1.4326542026790499,0.18268875866989787,1.2581575924419606,-0.8305564096467455,-1.3001988724792457,-1.8009294587181408,2.4737625417016504,0.18268875866989787,2.7676134095935097
coupled,48000,17,1.792310491522793,0.10044508508717505,,0.1198828301931221,1.4953366438162443,0.060875033658867095,0.5516211649859939,0.6441822533707617,0.4502284620502721,0.43294142556524196,0.04851241950940925,1.0113528097087277,0.1198828301931221,-1.1414001654664387,-0.5009343018095981,1.3633761382843268,0.04851241950940925,1.4953366438162443
coupled,48000,18,1.9802477012056423,0.02504827586056945,,-0.764184087835053,2.4735670697051564,0.12183653811619705,1.1216220956340344,0.666664633175333,1.0636741315914429,1.015035740943809,0.050795199591584794,1.6006018371953235,-0.764184087835053,-1.776081868336214,-1.0775105936340634,2.455193704785095,0.050795199591584794,2.4735670697051564
coupled,48000,19,2.3187745736360905,0.01809273360394595,,0.3521165618273758,1.9836599926753187,0.06916504314896765,0.7232581041065388,0.5131730937149847,0.9675036096631289,0.7942118566196273,0.107067763423603,1.120926755407445,0.3521165618273758,-1.134367779467945,-0.9671702843779364,1.7767678122004378,0.107067763423603,1.9836599926753187
coupled,48000,20,2.306433863865089,0.09172349549538195,,-0.011403691684421347,2.089469034492677,0.06395993959811369,0.9168811778174742,0.4779479237683423,1.0248168531892141,1.0680869997028397,0.24061273694700955,1.2085901171792621,-0.011403691684421347,-1.2327902360705492,-1.0984212527047186,1.880164838400013,0.24061273694700955,2.089469034492677
coupled,48000,21,1.8013918208378836,0.0428510507071221,,-0.8258533249964364,2.4016109548589344,0.06566921931754124,1.3509918555552796,0.261287089168998,1.0041825889013336,1.0484126550368678,0.11636756415180645,1.1545835408634209,-0.8258533249964364,-1.4996541987368048,-1.0765165568372859,2.26143261866072,0.11636756415180645,2.4016109548589344
coupled,48000,22,2.3387225250523134,0.13112405968649915,,0.10652952630399909,1.9202940307737215,0.0819561854006321,1.1467692039810249,0.5036477136936106,0.44353752179199585,0.8309756131355821,0.24981008883621247,1.042224987269304,0.10652952630399909,-1.4204711856794847,-0.8285443939456159,1.4641609426733073,0.24981008883621247,1.9202940307737215
coupled,48000,23,2.5589212390807825,0.02756059071323655,,-0.9488351109711228,3.1691517139626217,0.06501678297513055,1.4804712251241996,0.6457192587283016,1.3682655078793076,1.3194904146452222,0.1356959038839631,1.7113292673160774,-0.9488351109711228,-1.8883652216458948,-1.3793904935665842,3.0128931426524956,0.1356959038839631,3.1691517139626217
