contrast,n_seeds,median_effect,ci95_low,ci95_high,wilcoxon_p,n_positive,n_negative,n_zero,metric,median_step0,median_step48
learning_48k_minus_0k|phi_r_g,30,-1.3837285102998444,-1.6667775350644867,-1.1504495824310652,3.725290298461914e-09,1,29,0,phi_r_g,3.294433556193859,1.9273131028804606
learning_48k_minus_0k|group_decoupling_g,30,1.1940977980546321,0.8620009798960331,1.3220410093208468,1.6391277313232422e-07,28,2,0,group_decoupling_g,-0.9779146419668061,0.012707914651456154
learning_48k_minus_0k|group_downward_g,30,-2.3680662874584186,-2.7811125406936785,-1.9735061586332243,1.862645149230957e-09,0,30,0,group_downward_g,4.023338705426829,1.8483274626457717
learning_48k_minus_0k|group_part_driven_g,30,-0.03585560238169219,-0.04615471810428598,0.0017639489921917328,0.00577649287879467,10,20,0,group_part_driven_g,0.09573690186902889,0.07195508376080836
learning_48k_minus_0k|phi_r_z,30,0.029684955497241698,0.014920971300410455,0.03713124832292527,5.973502993583679e-06,25,5,0,phi_r_z,0.02853561473515583,0.056829350599061815
learning_48k_minus_0k|whole_to_single_sum,30,-2.1304719111411337,-2.389737477368851,-1.5998178910897387,1.862645149230957e-09,0,30,0,whole_to_single_sum,3.643271000161212,1.6256835074444078
learning_48k_minus_0k|whole_to_parts,30,-0.21547849671440256,-0.3044988712279092,-0.14445045926169436,6.917864084243774e-06,3,27,0,whole_to_parts,0.3935492841694985,0.15590557194333698
learning_48k_minus_0k|downward_reconstructed,30,-2.3680662874584186,-2.7811125406936785,-1.9696950618767808,1.862645149230957e-09,0,30,0,downward_reconstructed,4.023338705426829,1.8483274626457717
