seed,episode,rep,mean_empirical_rho,mean_surrogate_rho,mean_abs_rho_error,median_empirical_sd,median_surrogate_sd
1,0,0,0.9909012179411415,0.983916739119367,0.006984478821774433,0.07011776367946752,0.07011776367946751
1,0,1,0.9909012179411415,0.9855666539523517,0.006443535424606582,0.07011776367946752,0.07011776367946751
1,0,2,0.9909012179411415,0.9856703853240182,0.005800681066664491,0.07011776367946752,0.07011776367946751
1,0,3,0.9909012179411415,0.9832676630694738,0.007782207029953313,0.07011776367946752,0.07011776367946751
1,0,4,0.9909012179411415,0.9840490327169139,0.007247999367238532,0.07011776367946752,0.07011776367946752
1,1,0,0.9927036178238798,0.9842159707164438,0.008594935549487148,0.0794788401415308,0.0794788401415308
1,1,1,0.9927036178238798,0.9880331114233282,0.004670506400551833,0.0794788401415308,0.07947884014153078
1,1,2,0.9927036178238798,0.9882636283662457,0.005656688937706415,0.0794788401415308,0.0794788401415308
1,1,3,0.9927036178238798,0.9890487773041997,0.004369246789530583,0.0794788401415308,0.0794788401415308
1,1,4,0.9927036178238798,0.9837997847585819,0.008903833065298064,0.0794788401415308,0.07947884014153081
1,2,0,0.9914547007764174,0.9864128331611769,0.005681956260052866,0.062144324595591986,0.06214432459559198
1,2,1,0.9914547007764174,0.9840000169751395,0.007913183541473337,0.062144324595591986,0.062144324595591986
1,2,2,0.9914547007764174,0.9841245366825975,0.007330164093819748,0.062144324595591986,0.062144324595591986
1,2,3,0.9914547007764174,0.9848788439285951,0.006707413144839404,0.062144324595591986,0.06214432459559198
1,2,4,0.9914547007764174,0.9856703776235056,0.0069987920781278135,0.062144324595591986,0.062144324595591986
1,3,0,0.992268067115079,0.9887609751047041,0.004079625815544487,0.07114581768494646,0.07114581768494646
1,3,1,0.992268067115079,0.9854800327867688,0.00678803432831022,0.07114581768494646,0.07114581768494646
1,3,2,0.992268067115079,0.9867746921111219,0.006631315506616904,0.07114581768494646,0.07114581768494645
1,3,3,0.992268067115079,0.9889616115466632,0.0042623558635428065,0.07114581768494646,0.07114581768494646
1,3,4,0.992268067115079,0.9867682991756067,0.006014258718268939,0.07114581768494646,0.07114581768494646
1,4,0,0.9916177236729751,0.9873656904532009,0.004322961224143339,0.0724447295254417,0.07244472952544172
1,4,1,0.9916177236729751,0.9866634612685349,0.005628116559770219,0.0724447295254417,0.0724447295254417
1,4,2,0.9916177236729751,0.9825781537804997,0.009039569892475471,0.0724447295254417,0.0724447295254417
1,4,3,0.9916177236729751,0.9834352253647896,0.008211478683350823,0.0724447295254417,0.0724447295254417
1,4,4,0.9916177236729751,0.9881887481242909,0.003922866840264864,0.0724447295254417,0.0724447295254417
1,5,0,0.9925080290826136,0.9905354728953862,0.0032679468015126187,0.06953091969034014,0.06953091969034014
1,5,1,0.9925080290826136,0.9888978524351842,0.004315909771706372,0.06953091969034014,0.06953091969034014
1,5,2,0.9925080290826136,0.9844221522053359,0.008085876877277631,0.06953091969034014,0.06953091969034014
1,5,3,0.9925080290826136,0.9850173235559693,0.007490705526644344,0.06953091969034014,0.06953091969034014
1,5,4,0.9925080290826136,0.9854835158707843,0.007709595720308817,0.06953091969034014,0.06953091969034014
1,6,0,0.9898790610140207,0.9860799064458289,0.003799387467085811,0.05670036713236252,0.05670036713236252
1,6,1,0.9898790610140207,0.9825605960294873,0.007318464984533747,0.05670036713236252,0.056700367132362525
1,6,2,0.9898790610140207,0.9834516202653144,0.006464688534580071,0.05670036713236252,0.05670036713236252
1,6,3,0.9898790610140207,0.9825713349726225,0.007407098691181289,0.05670036713236252,0.05670036713236252
1,6,4,0.9898790610140207,0.9837733098557594,0.006388367375083211,0.05670036713236252,0.05670036713236251
1,7,0,0.9912172015546608,0.983896225514036,0.007411306802688265,0.07152602466529638,0.07152602466529638
1,7,1,0.9912172015546608,0.9876701033613143,0.005509303112087398,0.07152602466529638,0.07152602466529638
1,7,2,0.9912172015546608,0.987615051417578,0.004083522231078857,0.07152602466529638,0.07152602466529637
1,7,3,0.9912172015546608,0.980822298929655,0.010532702689583673,0.07152602466529638,0.07152602466529638
1,7,4,0.9912172015546608,0.9841790028337472,0.007092996760466273,0.07152602466529638,0.07152602466529637
1,8,0,0.9929200180487411,0.9853709925356186,0.0075490255131226884,0.06985994283579228,0.06985994283579228
1,8,1,0.9929200180487411,0.9868674743989069,0.006343294825721102,0.06985994283579228,0.06985994283579228
1,8,2,0.9929200180487411,0.9894968499114448,0.004748254401403991,0.06985994283579228,0.06985994283579229
1,8,3,0.9929200180487411,0.9873338993599963,0.005868181860498506,0.06985994283579228,0.06985994283579228
1,8,4,0.9929200180487411,0.9875547326755272,0.005918722679006237,0.06985994283579228,0.06985994283579228
